"Title","material","precursor 1","precursor 2","precursor 3","precursor 4","growth per cycle (gpc) [å]","deposition temperature [°c]"
"Radical-enhanced atomic layer deposition of Y2O3 via a β-diketonate precursor and O radicals - Contribution","Y2O3","Y(thd)3","O2 plasma","","","0.3","200-300"
"Processing of Y<sub>2</sub>O<sub>3</sub> Thin Films by Atomic Layer Deposition from Cyclopentadienyl-Type Compounds and Water as Precursors - Contribution","Y2O3","Y(Cp)3","H2O","","","1.20-1.30","200-400"
"Processing of Y<sub>2</sub>O<sub>3</sub> Thin Films by Atomic Layer Deposition from Cyclopentadienyl-Type Compounds and Water as Precursors - Contribution","Y2O3","Y(MeCp)3","H2O","","","1","250-325"
"Atomic Layer Deposition of Rare-earth Oxide Thin Films for High-k Dielectric Applications - Contribution","Y2O3","Y(EtCp)3","H2O","","","1.7","200-400"
"Atomic Layer Deposition of Y[sub 2]O[sub 3] Films on Silicon Using Tris(ethylcyclopentadienyl) Yttrium Precursor and Water Vapor - Contribution","Y2O3","Y(EtCp)3","H2O","","","1.7","200-400"
"Atomic Layer Deposition of Y<sub>2</sub>O<sub>3</sub> Thin Films from Yttrium Tris(<i>N</i>,<i>N</i>‘-diisopropylacetamidinate) and Water - Contribution","Y2O3","Y(iPr2amd)3","H2O","","","0.8","150-280"
"Growth Characteristics and Properties of Yttrium Oxide Thin Films by Atomic Layer Deposition from Novel Y(iPrCp)<sub>3</sub> Precursor and O<sub>3</sub> - Contribution","Y2O3","Y(iPrCp)3","O3","","","1.7","245-300"
"Thermal Atomic Layer Deposition of Yttrium Oxide Films and Their Properties in Anticorrosion and Water Repellent Coating Applications - Contribution","Y2O3","Y(iPr2amd)(EtCp)2","H2O","","","1.1","300-450"
"Thermal Atomic Layer Deposition of Yttrium Oxide Films and Their Properties in Anticorrosion and Water Repellent Coating Applications - Contribution","Y2O3","Y(iPr2amd)(EtCp)2","O3","","","1.1","300-450"
"Thermal Atomic Layer Deposition of Yttrium Oxide Films and Their Properties in Anticorrosion and Water Repellent Coating Applications - Contribution","Y2O3","Y(iPr2amd)(EtCp)2","O2","","","0.9","300-450"
"Atomic layer deposition of Y2O3 and yttrium-doped HfO2 using a newly synthesized Y(iPrCp)2(N-iPr-amd) precursor for a high permittivity gate dielectric - Contribution","Y2O3","Y(iPr2amd)(iPrCp)2","H2O","","","0.40, 1.30","350-450"
"Heteroleptic Cyclopentadienyl-Amidinate Precursors for Atomic Layer Deposition (ALD) of Y, Pr, Gd, and Dy Oxide Thin Films - Contribution","Y2O3","Y(iPr2amd)(iPrCp)2","H2O","","","0.40, 1.30","350-450"
"Atomic layer deposition of Y<sub>2</sub>O<sub>3</sub> films using heteroleptic liquid (iPrCp)<sub>2</sub>Y(iPr-amd) precursor - Contribution","Y2O3","Y(iPr2amd)(iPrCp)2","H2O","","","0.40, 1.30","350-450"
"Heteroleptic Cyclopentadienyl-Amidinate Precursors for Atomic Layer Deposition (ALD) of Y, Pr, Gd, and Dy Oxide Thin Films - Contribution","Y2O3","Y(iPr2amd)(iPrCp)2","O3","","","_","350"
"Water assisted atomic layer deposition of yttrium oxide using tris(<i>N</i>,<i>N</i>′-diisopropyl-2-dimethylamido-guanidinato) yttrium(<scp>iii</scp>): process development, film characterization and functional properties - Contribution","Y2O3","Y(dpdmg)3","H2O","","","1.1","175-250"
"Atomic Layer Deposition of Y2O3 Using Tris(butylcyclopentadienyl)yttrium and Water - Contribution","Y2O3","Y(BuCp)3","H2O","","","1.40-1.70","230"
"Atomic layer deposition of dielectric Y<sub>2</sub>O<sub>3</sub> thin films from a homoleptic yttrium formamidinate precursor and water - Contribution","Y2O3","Y(iPr2famd)3","H2O","","","1.36","150-325"
"A study on the influence of ligand variation on formamidinate complexes of yttrium: new precursors for atomic layer deposition of yttrium oxide - Contribution","Y2O3","Y(tBu2famd)3","H2O","","","0.67","200-325"
"Atomic layer deposition of Y<sub>2</sub>O<sub>3</sub> films using a novel liquid homoleptic yttrium precursor tris(<i>sec</i>-butylcyclopentadienyl)yttrium [Y(<sup>s</sup>BuCp)<sub>3</sub>] and water - Contribution","Y2O3","Y(tBuCp)3","H2O","","","1.7","250"
"Atomic Layer Deposition of Hexagonal and Orthorhombic YMnO<sub>3</sub> Thin Films - Contribution","YMnO3","Y(thd)3","Mn(thd)3","O3","","0.18-0.60","250-300"
"Extensive Series of Hexagonal and Orthorhombic RMnO<sub>3</sub> (R = Y, La, Sm, Tb, Yb, Lu) Thin Films by Atomic Layer Deposition - Contribution","YMnO3","Y(thd)3","Mn(thd)3","O3","","0.18-0.60","250-300"
"Atomic layer deposition of YMnO3 thin films - Contribution","YMnO3","Y(thd)3","Mn(thd)3","O2","","0.25-0.30","250"
"Intense NIR emission in YVO<sub>4</sub>:Yb<sup>3+</sup> thin films by atomic layer deposition - Contribution","YVO4","Y(thd)3","VO(thd)2","O3","","0.15-0.17","260-300"
"Polycrystalline Er-doped Y<sub>3</sub>Ga<sub>5</sub>O<sub>12</sub> nanofilms fabricated by atomic layer deposition on silicon at a low temperature and the exploration on electroluminescence performance - Contribution","Y3Ga5O12","Y(thd)3","Et3Ga","O3","","0.23","350"
"Controlled Growth of Yttrium Oxysulphide Thin Films by Atomic Layer Deposition - Contribution","Y2O2S","Y(thd)3","H2S","","","_","350-450"
"Ta2O5/SiO2 Multicomponent Dielectrics for Amorphous Oxide TFTs - Contribution","Y2O3-xSx","Y(MeCp)3","H2O","H2S","","_","3 0 0"
"ALD of YF<sub>3</sub> Thin Films from TiF<sub>4</sub> and Y(thd)<sub>3</sub> Precursors - Contribution","YF3","Y(thd)3","TiF4","","","1.10-1.70","225-325"
"Formation and stability of lanthanum oxide thin films deposited from β-diketonate precursor - Contribution","La2O3","La(thd)3","O3","","","0.36","180-425"
"High-Temperature Oxidation of Ni Coated with La2O3 by Atomic-Layer Chemical-Vapor Deposition (ALCVD) - Contribution","La2O3","La(thd)3","O3","","","0.36","180-425"
"Chemical and structural properties of atomic layer deposited La2O3 films capped with a thin Al2O3 layer - Contribution","La2O3","La(thd)3","O3","","","0.36","180-425"
"Stabilizing Supported Ni Catalysts for Dry Reforming of Methane by Combined La Doping and Al Overcoating Using Atomic Layer Deposition - Contribution","La2O3","La(thd)3","O3","","","0.36","180-425"
"5 nm thick lanthanum oxide thin films grown on Si(100) by atomic layer deposition: The effect of post-annealing on the electrical properties - Contribution","La2O3","La(thd)3","H2O","","","0.30-0.50","230-350"
"Atomic Layer Deposition of La2O3 Film with Precursor La(thd)3-DMEA - Contribution","La2O3","La(thd)3-DEMA","O3","","","0.4","225-250"
"Process and Material Properties of HfLaO[sub x] Prepared by Atomic Layer Deposition - Contribution","La2O3","La(iPrCp)3","H2O","","","0.1","280-480"
"Growth characteristics and electrical properties of La2O3 gate oxides grown by thermal and plasma-enhanced atomic layer deposition - Contribution","La2O3","La(iPrCp)3","H2O","","","0.1","280-480"
"La2O3 gate insulators prepared by atomic layer deposition: Optimal growth conditions and MgO/La2O3 stacks for improved metal-oxide-semiconductor characteristics - Contribution","La2O3","La(iPrCp)3","H2O","","","0.1","280-480"
"Atomic Layer Deposition of Rare-earth Oxide Thin Films for High-k Dielectric Applications - Contribution","La2O3","La(iPrCp)3","O3","","","0.30-0.60","150-250"
"Improving Threshold Voltage and Device Performance of Gate-First HfSiON/Metal Gate n-MOSFETs by an ALD La[sub 2]O[sub 3] Capping Layer - Contribution","La2O3","La(iPrCp)3","O3","","","0.30-0.60","150-250"
"Growth characteristics and electrical properties of La2O3 gate oxides grown by thermal and plasma-enhanced atomic layer deposition - Contribution","La2O3","La(iPrCp)3","O2 plasma","","","0.6","300-350"
"Comparison of the Deposition Characteristics and Electrical Properties for La2O3, HfO2 and LHO Films - Contribution","La2O3","La(iPrCp)3","O2 plasma","","","0.6","300-350"
"Characteristics of La$_2$O$_3$ Thin Films Deposited Using the ECR Atomic Layer Deposition Method - Contribution","La2O3","La(iPrCp)3","O2 plasma","","","0.6","300-350"
"The Effects of Annealing Ambient on the Characteristics of La[sub 2]O[sub 3] Films Deposited by RPALD - Contribution","La2O3","La(iPrCp)3","O2 plasma","","","0.6","300-350"
"Effects of an Al<sub>2</sub>O<sub>3</sub> capping layer on La<sub>2</sub>O<sub>3</sub> deposited by remote plasma atomic layer deposition - Contribution","La2O3","La(iPrCp)3","O2 plasma","","","0.6","300-350"
"Investigation of PEALD ZrO2/La2O3-based high-k nanolaminates sandwiched between Al and Ti electrodes for MIM capacitors - Contribution","La2O3","La(iPrCp)3","O2 plasma","","","0.6","300-350"
"Chemical and structural properties of atomic layer deposited La2O3 films capped with a thin Al2O3 layer - Contribution","La2O3","La(Cp)3","H2O","","","_","260"
"Vibrational and electrical properties of hexagonal La2O3 films - Contribution","La2O3","La(Cp)3","H2O","","","_","260"
"Infrared spectroscopy and X-ray diffraction studies on the crystallographic evolution of La2O3 films upon annealing - Contribution","La2O3","La(Cp)3","H2O","","","_","260"
"Plasma-enhanced atomic layer-deposited La2O3 ultra-thin films on Si and 6H–SiC: a comparative study - Contribution","La2O3","La(Cp)3","O2 plasma","","","0.5","150"
"Atomic Layer Deposition of Lanthanum Oxide Films for High-κ Gate Dielectrics - Contribution","La2O3","La(tmsa)3","H2O","","","0.43","200-300"
"Film properties of ALD HfO2 and La2O3 gate dielectrics grown on Si with various pre-deposition treatments - Contribution","La2O3","La(tmsa)3","H2O","","","0.43","200-300"
"Atomic Layer Deposition and Properties of Lanthanum Oxide and Lanthanum‐Aluminum Oxide Films - Contribution","La2O3","La(tmsa)3","H2O","","","0.43","200-300"
"Atomic layer deposition of lanthana thin films using high-purity lanthanum amino precursors - Contribution","La2O3","La(tmsa)3","H2O","","","0.43","200-300"
"Liquid Crystalline Polymers for Efficient Bilayer-Bulk-Heterojunction Solar Cells - Contribution","La2O3","La(iPr2amd)3","H2O","","","1.05","200-300"
"Electrical properties of atomic-layer-deposited La2O3 films using a novel La formamidinate precursor and ozone - Contribution","La2O3","La(iPr2famd)3","H2O","","","1.7","200-250"
"Electrical properties of atomic-layer-deposited La2O3 films using a novel La formamidinate precursor and ozone - Contribution","La2O3","La(iPr2famd)3","O3","","","1.20-1.40","200-250"
"Stabilization of a very high-k crystalline ZrO2 phase by post deposition annealing of atomic layer deposited ZrO2/La2O3 dielectrics on germanium - Contribution","La2O3","La(iPr2famd)3","O2","","","0.4","300"
"Atomic layer deposition of lanthanum oxide with heteroleptic cyclopentadienyl-amidinate lanthanum precursor - Effect of the oxygen source on the film growth and properties - Contribution","La2O3","La(iPr2amd)(iPrCp)2","H2O","","","1.20-3.00","200-300"
"Atomic layer deposition of lanthanum oxide with heteroleptic cyclopentadienyl-amidinate lanthanum precursor - Effect of the oxygen source on the film growth and properties - Contribution","La2O3","La(iPr2amd)(iPrCp)2","O3","","","0.60-2.10","200-325"
"Atomic layer deposition of lanthanum oxide with heteroleptic cyclopentadienyl-amidinate lanthanum precursor - Effect of the oxygen source on the film growth and properties - Contribution","La2O3","La(iPr2amd)(iPrCp)2","H2O+O3","","","0.70-1.80","200-325"
"Atomic layer deposition of lanthanum oxide with heteroleptic cyclopentadienyl-amidinate lanthanum precursor - Effect of the oxygen source on the film growth and properties - Contribution","La2O3","La(iPr2amd)(iPrCp)2","EtOH","","","0.50-1.70","200-325"
"Enteroclysis in children with Crohn’s disease - Contribution","LaAlO3","La(thd)3","Al(acac)3","O3","","0.36-0.39","325-400"
"Mechanoluminescent SrAl2O4:Eu,Dy phosphor for use in visualization of quasidynamic crack propagation - Contribution","LaAlO3","La(thd)3","TMA","H2O","","0.55","270"
"Anisotropic Heisenberg model in thin film geometry - Contribution","LaAlO3","La(thd)3","TMA","O3","","0.64","250"
"Atomic Layer Deposition and Properties of Lanthanum Oxide and Lanthanum‐Aluminum Oxide Films - Contribution","LaAlO3","La(tmsa)3","TMA","H2O","","0.58","225-250"
"Atomic layer deposition of lanthanum aluminum oxide nano-laminates for electrical applications - Contribution","LaAlO3","La(iPr2amd)3","TMA","H2O","","0.8","300-330"
"Effects of Low Temperature O2 Treatment on the Electrical Characteristics of Amorphous LaAlO3 Films by Atomic Layer Deposition - Contribution","LaAlO3","La(iPr2famd)3","TMA","H2O","","2.8","300-330"
"LaAlO3/SrTiO3 Epitaxial Heterostructures by Atomic Layer Deposition - Contribution","LaAlO3","La(iPrCp)3","TMA","H2O","","0.12","300"
"Liquid injection ALD and MOCVD of lanthanum aluminate using a bimetallic alkoxide precursor - Contribution","LaAlO3","LaAl(OiPr)6(iPrOH)]2","H2O","","","0.10-0.50","160-300"
"Deposition of LaNiO3 thin films in an atomic layer epitaxy reactor - Contribution","LaNiO3","La(thd)3","Ni(thd)2","O3","","0.08-0.26","215-400"
"A foundation for complex oxide electronics -low temperature perovskite epitaxy - Contribution","LaNiO3","La(thd)3","Ni(acac)2","O3","","0.31","225"
"Issue Publication Information - Contribution","LaNiO3","La(thd)3","Ni(acac)2","O3","","0.31","225"
"Growth of LaCoO3 thin films from β-diketonate precursors - Contribution","LaCoO3","La(thd)3","Co(thd)2","O3","","0.35","200-400"
"Thin film deposition of lanthanum manganite perovskite by the ALE process - Contribution","LaMnO3","La(thd)3","Mn(thd)2","O3","","0.10-0.23","250-325"
"Extensive Series of Hexagonal and Orthorhombic RMnO<sub>3</sub> (R = Y, La, Sm, Tb, Yb, Lu) Thin Films by Atomic Layer Deposition - Contribution","LaMnO3","La(thd)3","Mn(thd)2","O3","","0.10-0.23","250-325"
"Atomic layer epitaxy growth of LaGaO3 thin films - Contribution","LaGaO3","La(thd)3","Ga(acac)3","O3","","0.38","325-400"
"Growth of La<sub>1−x</sub>Sr<sub>x</sub>FeO<sub>3</sub>thin films by atomic layer deposition - Contribution","LaFeO3","La(thd)3","Fe(thd)3","O3","","0.20 -0.30","200-360"
"Atomic Layer Deposition of Lanthanum-Based Ternary Oxides - Contribution","LaLuO3","La(thd)3","Lu(thd)3","O3","","","300"
"Atomic Layer Deposition of Lanthanum-Based Ternary Oxides - Contribution","LaLuO3","La(iPr2amd)3","Lu(Etfamd)3","H2O","","1.2","300"
"Atomic Layer Deposition of Lanthanum-Based Ternary Oxides - Contribution","LaScO3","La(iPr2amd)3","Sc(Etamd)3","H2O","","1.1","300"
"Atomic Layer Deposition of Lanthanum-Based Ternary Oxides - Contribution","LaYO3","La(iPr2amd)3","Y(iPramd)3","H2O","","0.8","280"
"Process and Material Properties of HfLaO[sub x] Prepared by Atomic Layer Deposition - Contribution","HfLaOx","La(iPrCp)3","TEMA-Hf","H2O","","1.4","300"
"Atomic Layer Deposition of Rare-earth Oxide Thin Films for High-k Dielectric Applications - Contribution","HfLaOx","La(iPrCp)3","TEMA-Hf","O3","","","225"
"Comparison of the Deposition Characteristics and Electrical Properties for La2O3, HfO2 and LHO Films - Contribution","HfLaOx","La(iPrCp)3","TEMA-Hf","O2 plasma","","0.5","225,300-350"
"Evaluation of HfLaO<sub>x</sub> as Blocking Layer for Innovative Nonvolatile Memory Applications - Contribution","HfLaOx","La(iPr2famd)3","TEMA-Hf","O3","","_","265"
"Atomic layer deposition of lithium containing thin films - Contribution","LiLaO2","Li(thd)","La(thd)3","O3","","0.20-0.30","225"
"Thin film fabrication and characterization of proton conducting lanthanum tungstate - Contribution","LaWO4","La(thd)3","W(tBuN)2(Me2N)2","O3","H2O","0.48-0.58","250-375"
"Phase Control in Thin Films of Layered Cuprates - Contribution","La2CuO4","La(thd)3","Cu(acac)2","O3","","0.4","210-250"
"Thermodynamic and Structural Properties of Bulk and Thin-Film CeVO<sub>4</sub> and LaVO<sub>4</sub> - Contribution","LaVO4","La(thd)3","VO(acac)2","","","_","270"
"Deposition of lanthanum zirconium oxide high-κ films by liquid injection atomic layer deposition - Contribution","LaxZr1-XO2-??","La(iPrCp)3","(MeCp)2ZrMe(OMe)","H2O","","_","300"
"Atomic layer deposition of LaxZr1−xO2−δ (x=0.25) high-k dielectrics for advanced gate stacks - Contribution","LaxZr1-XO2-??","La(iPrCp)3","(MeCp)2ZrMe(OMe)","H2O","","_","300"
"Spontaneous nanoclustering of ZrO2 in atomic layer deposited LayZr1−yOx thin films - Contribution","LaxZr1-XO2-??","La(thd)3","(MeCp)2ZrMe(OMe)","O3","","_","300"
"Atomic Layer Deposited Lanthanum-(Zirconate/Aluminate) Based High-K Dielectric Stacks For Future CMOS-Technology - Contribution","LaxZr1-XO2-??","La(tmsa)3","Zr[N(CH2CH3)]4","H2O","","0.58-0.72","250"
"Lanthanum titanate and lithium lanthanum titanate thin films grown by atomic layer deposition - Contribution","Li0.32La0.30TiO2","La(thd)3","O3","TiCl4/LiOtBu","H2O","0.15-0.35","225"
"Atomic Layer Deposition of the Solid Electrolyte Garnet Li<sub>7</sub>La<sub>3</sub>Zr<sub>2</sub>O<sub>12</sub> - Contribution","Li7La3Zr2O12","LiOtBu","La(iPrFamd)3","TDMAZ","O3","0.8","225"
"Growth of La<sub>1−x</sub>Sr<sub>x</sub>FeO<sub>3</sub>thin films by atomic layer deposition - Contribution","La1-XSrxFeO3","La(thd)3","Sr(thd)2","Fe(thd)3","O3","0.20 -0.30","260"
"Atomic layer deposition of LSM cathodes for solid oxide fuel cells - Contribution","La1-XSrxMnO3","La(MeCp)3","Srn-PrMe4Cp2","MnMeCp2","H2O","5","300"
"Growth of La<sub>1−x</sub>CaxMnO<sub>3</sub>thin films by atomic layer deposition - Contribution","La1-XCaxMnO3","La(thd)3","Ca(thd)2","Mn(thd)3","O3","0.15-0.40","235-285"
"Atomic layer deposition of quaternary oxide (La,Sr)CoO<sub>3−δ</sub> thin films - Contribution","(La,Sr)CoO3???","La(thd)3","Sr(thd)2","Co(acac)3","O3","0.5","250-310"
"First complex oxide superconductor by atomic layer deposition - Contribution","La2?xSrxCuO4?y","La(thd)3","Cu(acac)2","Sr(thd)2","O3","0.4","225"
"Tuning electronic properties in LaNiO<sub>3</sub> thin films by B-site Cu-substitution - Contribution","LaNixCu1-xO3","La(thd)3","Ni(acac)2","Cu(acac)2","O3","_","225"
"Atomic Layer Deposition of LaF<sub>3</sub> Thin Films using La(thd)<sub>3</sub> and TiF<sub>4</sub> as Precursors - Contribution","LaF3","La(thd)3","TiF4","","","2.00-5.00","225-350"
"Atomic layer deposition of metal fluorides through oxide chemistry - Contribution","LaF3","La(thd)3","O3","Hfac","","0.49","250-300"
"Yttria-Doped Ceria Surface Modification Layer via Atomic Layer Deposition for Low-Temperature Solid Oxide Fuel Cells - Contribution","CeO2","Ce(thd)4","O3","","","0.32","175-375"
"Cerium dioxide buffer layers at low temperature by atomic layer deposition - Contribution","CeO2","Ce(thd)4","O3","","","0.32","175-375"
"Atomic Layer Deposition of Nanometer-Sized CeO<sub>2</sub> Layers in Ordered Mesoporous ZrO<sub>2</sub> Films and Their Impact on the Ionic/Electronic Conductivity - Contribution","CeO2","Ce(thd)4","O3","","","0.32","175-375"
"Hydrocarbon catalyzed-selective catalytic reduction catalysts using core-shell atomic layer deposited CeO2 and ZrO2 - Contribution","CeO2","Ce(thd)4","O3","","","0.32","175-375"
"Correlation between Surface Reactions and Electrochemical Performance of Al<sub>2</sub>O<sub>3</sub>‐ and CeO<sub>2</sub>‐Coated NCM Thin Film Cathodes - Contribution","CeO2","Ce(thd)4","O3","","","0.32","175-375"
"Cerium dioxide buffer layers at low temperature by atomic layer deposition - Contribution","CeO2","Ce(thd)3phen","O3","","","0.42","225-350"
"MOCVD and ALD of CeO<sub>2</sub> Thin Films using a Novel Monomeric Ce<sup>IV</sup> Alkoxide Precursor - Contribution","CeO2","Ce(mmp)4","O2 plasma","","","_","150-300"
"Growth Characteristics and Film Properties of Cerium Dioxide Prepared by Plasma-Enhanced Atomic Layer Deposition - Contribution","CeO2","Ce(iPrCp)3","O2 plasma","","","0.35","250"
"Atomic layer deposition of CeO2/HfO2 gate dielectrics on Ge substrate - Contribution","CeO2","Ce(iPrCp)3","H2O","","","0.2","250"
"Atomic layer deposition of CeO2 using a heteroleptic cyclopentadienyl-amidinate precursor - Contribution","CeO2","Ce(iPr2amd)(iPrCp)2","H2O","","","1.9","240"
"A high growth rate process of ALD CeOx with amidinato-cerium [(N-iPr-AMD)3Ce] and O3 as precursors - Contribution","CeO2","Ce(iPr2amd)3","O3","","","2.8","210-270"
"Rational Development of Guanidinate and Amidinate Based Cerium and Ytterbium Complexes as Atomic Layer Deposition Precursors: Synthesis, Modeling, and Application - Contribution","CeO2","Ce(dpdmg)3","H2O","","","2.1","160"
"<i>In situ</i> ellipsometry aided rapid ALD process development and parameter space visualization of cerium oxide nanofilms - Contribution","CeO2","Ce(iPr2famd)(iPrCp)2","H2O","","","1.5","245"
"Synthesis of a Thin-Layered Ionic Conductor, CeO<sub>2</sub>−Y<sub>2</sub>O<sub>3</sub>, by Atomic Layer Deposition in View of Solid Oxide Fuel Cell Applications - Contribution","CeO2-Y2O3","Ce(thd)4","Y(thd)3","O3","","0.41-0.53","300"
"Yttria-Doped Ceria Surface Modification Layer via Atomic Layer Deposition for Low-Temperature Solid Oxide Fuel Cells - Contribution","CeO2-Y2O3","Ce(thd)4","Y(thd)3","O3","","0.41-0.53","300"
"Characterisation of thin films of ceria-based electrolytes for IntermediateTemperature — Solid oxide fuel cells (IT-SOFC) - Contribution","CeGdO3","Ce(thd)4","Gd(thd)3","O3k","","0.32","250"
"Thermodynamic and Structural Properties of Bulk and Thin-Film CeVO<sub>4</sub> and LaVO<sub>4</sub> - Contribution","CeVO4","Ce(thd)4","VO(acac)2","","","_","270"
"Effect of Perovskite-Fluorite Phase Transition on the Catalytic Activity of Pt/CeFeO<sub><i>x</i></sub> - Contribution","CeFeOx","Ce(thd)4","Fe(CP)2","","","_","270"
"Structure and redox properties of CeMnO3 thin films - Contribution","CeMnO3","Ce(thd)4","Mn(thd)3","","","_","270"
"Evaluation of a Praseodymium Precursor for Atomic Layer Deposition of Oxide Dielectric Films - Contribution","Pr2O3","Pr(tmsa)3","H2O","","","0.15-2.90","200-400"
"Deposition of HfO2, Gd2O3 and PrOx by Liquid Injection ALD Techniques - Contribution","Pr2O3","Pr(mmp)3","H2O","","","0.10-0.70","200-350"
"Formation of Pr Oxide Films by Atomic Layer Deposition Using Pr(EtCp)<sub>3</sub> Precursor - Contribution","Pr2O3","Pr(EtCp)3","H2O","","","0.7","130"
"Heteroleptic Cyclopentadienyl-Amidinate Precursors for Atomic Layer Deposition (ALD) of Y, Pr, Gd, and Dy Oxide Thin Films - Contribution","Pr2O3","Pr(iPr2amd)(iPrCp)2","H2O","","","1.47-1.66","200-300"
"Atomic Layer Deposition of Praseodymium Aluminum Oxide for Electrical Applications - Contribution","PrxAl2-xO3","Pr(iPr2amd)3","TMA","H2O","","0.8-1.0","295"
"Deposition of Pr- and Nd-aluminate by Liquid Injection MOCVD and ALD Using Single-Source Heterometallic Alkoxide Precursors - Contribution","PrxAl2-xO3","[PrAl(OPri)6(PriOH)]2","H2O","","","_","180-350"
"Solid-Phase Epitaxy of Perovskite High Dielectric PrAlO<sub>3</sub> Films Grown by Atomic Layer Deposition for Use in Two-Dimensional Electronics and Memory Devices - Contribution","PrxAl2-xO3","Pr(iPrCp)3","TMA","H2O","","1.7","250-350"
"A comparative study on lanthanide oxide thin films grown by atomic layer deposition - Contribution","Nd2O3","Nd(thd)3","O3","","","0.44-0.45","310"
"Atomic layer deposition of rare earth oxides: erbium oxide thin films from β-diketonate and ozone precursors - Contribution","Nd2O3","Nd(thd)3","O3","","","0.44-0.45","310"
"Luminescent (Er,Ho)2O3 thin films by ALD to enhance the performance of silicon solar cells - Contribution","Nd2O3","Nd(thd)3","O3","","","0.44-0.45","310"
