material,family,co_reactant,gpc_num,temp_num
Li La TiO,β-diketonate,TiCl/LiOtBu,HO,0.15-0.35,225
LiLaZrO,β-diketonate,[La(iPrFamd)],TDMAZ,O,0.80,225
La SrFeO,β-diketonate,Sr(thd),Fe(thd),O,0.20-0.30,260
La SrMnO,β-diketonate,Sr(thd),Mn(thd),O,0.15-0.40,235-285
La CaMnO,β-diketonate,Ca(thd),Mn(thd),O,0.15-0.40,235-285
(La,Sr)CoO 3−𝛿,β-diketonate,La(thd),Sr(thd),Co(acac),O,0.50,250-310
La SrCuO,β-diketonate,Cu(acac),Sr(thd),O,0.40,225
LaNiCu O,β-diketonate,Ni(acac),Cu(acac),O,_,225
LaF,β-diketonate,TiF,2.00-5.00,225-350
La(thd),β-diketonate,O,Hfac,0.49,250-300
LaS3,β-diketonate,HS,0.15,360-410
CeO,β-diketonate,O,0.32,175-375
Ce(thd)phen,β-diketonate,O,0.42,225-350
Ce(mmp),β-diketonate,O plasma,_,150-300
Ce(iPrCp),β-diketonate,O plasma,0.35,250
Ce(iPrCp),β-diketonate,HO,0.20,250
Ce(iPr2amd)(iPrCp),β-diketonate,HO,1.90,240
Ce(iPr2amd),β-diketonate,O,2.80,210-270
Ce(dpdmg),β-diketonate,HO,2.10,160
Ce(iPr2famd)(iPrCp),β-diketonate,HO,1.50,245
CeO YO,β-diketonate,Y(thd),O,0.41-0.53,300
CeGdO,β-diketonate,Gd(thd),O,0.32,250
CeVO,β-diketonate,VO(acac),_,270
CeFeO,β-diketonate,Fe(CP),_,270
CeMnO,β-diketonate,Mn(thd),_,270
PrO,β-diketonate,HO,0.15-2.90,200-400
Pr(mmp),β-diketonate,HO,0.10-0.70,200-350
Pr(EtCp),β-diketonate,HO,0.70,130
Pr(iPr2amd)(iPrCp),β-diketonate,HO,1.47-1.66,200-300
PrAl O,β-diketonate,TMA,HO,0.8-1.0,295
[PrAl(OPri)(PriOH)],β-diketonate,HO,_,180-350
Pr(iPrCp),β-diketonate,TMA,HO,1.70,250-350
NdO,β-diketonate,O,0.44-0.45,310
NdAlO,β-diketonate,O,TMA,HO,0.53,300
[NdAl(OiPr)(PriOH)],β-diketonate,HO,_,180-350
NdNiO,β-diketonate,Ni(tBuamd),O,0.36,160
SmO,β-diketonate,O,0.36,300
SmMnO,β-diketonate,Mn(thd),O,0.23,275
EuO,β-diketonate,O,73,0.32,300
EuTiO,β-diketonate,O,TiCl,HO,0.38-0.45,300
EuTiPO,β-diketonate,O,TiCl+HO,MePO,0.80-1.00,300
GdO,β-diketonate,O,0.31,300
Gd(MeCp),β-diketonate,HO,1.00-3.20,175-300
Gd(RCp),β-diketonate,HO,1.00-3.20
Gd(mmp),β-diketonate,HO,0.20-1.00,200-300
Gd(dpdmg),β-diketonate,HO,1.00-1.10,175-350
Gd(tBu2amd),β-diketonate,HO,0.26-0.49,350-400
Gd(iPrCp),β-diketonate,O plasma,1.40,250
Gd(iPrCp),β-diketonate,HO,0.80,250
Gd(iPrCp),β-diketonate,O,0.20,250
Gd(iPr2amd)(iPrCp),β-diketonate,HO,1.16-1.38,200-250
GdAlO,β-diketonate,TMA,O,1.75-2.75,200-350
Gd(iPrCp),β-diketonate,TMA,HO,4.50-5.00,200-350
ZrO-GdO,β-diketonate,Zr(MeCp)Me(OMe),Gd(thd),O,0.39-0.53,300
GdScO,β-diketonate,Sc(Et2amd),HO,2.00,310
Gd(thd),β-diketonate,Sc(thd),O,0.21,300
Gd(iPrCp),β-diketonate,Sc(MeCp),HO,2.20,300
GdFeO,β-diketonate,Fe(OtBu)(CHN),O,0.20-0.30,200
GdCoO,β-diketonate,Co(thd),O,0.24,300
GdGaO,β-diketonate,TEGa,O,0.19,350
Gd Ca CoO,β-diketonate,Co(thd),Ca(thd),O,0.30,300
GdN,β-diketonate,N,plasma,0.33,150-300
GdF,β-diketonate,NHF,0.26,300
TbO-AlO,β-diketonate,TMA,O,_,350
TbMnO,β-diketonate,Mn(thd),O,0.18,250-325
TbScO,β-diketonate,Sc(thd),O,0.40,300
TbF,β-diketonate,TiF,0.75,175-350
DyO,β-diketonate,O,0.31,300
Dy(dpdmg),β-diketonate,HO,1.00,200-350
Dy(iPr2amd)(iPrCp),β-diketonate,O plasma,0.30,140-230
Dy(iPr2amd)(iPrCp),β-diketonate,HO,1.16-1.38,300-350
Dy(iPr2amd)(iPrCp),β-diketonate,O,_,200-350
HoO,β-diketonate,O,0.25,300
HoF,β-diketonate,NbF,1.00,250-275
ErO,β-diketonate,O,0.20-0.25,250-375
Er(thd),β-diketonate,O plasma,0.50,200-300
Er(MeCp),β-diketonate,HO,1.50,250-350
Er(MeCp),β-diketonate,O,0.12,170-330
Erbitel12,β-diketonate,O,0.20-0.40,175-300
Er(tBu2amd),β-diketonate,O,0.37-0.55,225-300
Er(dpdmg),β-diketonate,HO,1.10,150-275
Er(iPr2amd)(MeCp),β-diketonate,HO,0.50,180
Er(iPr2amd)(MeCp),β-diketonate,O plasma,0.70,180
Er(iPr2amd)(MeCp),β-diketonate,HO,1.10-1.20,225-275
Er(iPr2amd)(MeCp),β-diketonate,O,0.20-1.0,200-325
Er(iPrCp),β-diketonate,HO,0.80-1.20,200-300
Er(iPrCp),β-diketonate,O,0.30-0.80,200-300
Er(nBuCp),β-diketonate,HO,1.20,250-325
Er(nBuCp),β-diketonate,O,0.40-0.80,225-350
Er TiO,β-diketonate,TDEAT,O,0.5-10.64,175-275
ZrO-ErO,β-diketonate,Zr(MeCp)Me(OMe),Er(thd),O,0.20,350
(Er,Ga)O,β-diketonate,Ga(acac),O,0.25-0.28,350
Er(MeCp),β-diketonate,Ga(NMe ),HO,0.95-1.00,250
ErFeO,β-diketonate,Fe(thd),O,1.00,280-300
TmO,β-diketonate,O,0.22,300
Tm(Cp),β-diketonate,HO,1.50,200-300
YbO,β-diketonate,O,0.15-0.2,250-400
Yb(MeCp),β-diketonate,HO,1.00,180-375
YbAlO,β-diketonate,TMA,O,0.20,350
YbTiO,β-diketonate,O,TiCl,HO,0.36-0.37,300
YbMnO,β-diketonate,Mn(thd),O,0.18,275-300
YbVO,β-diketonate,VO(thd),O,0.08-0.23,240
LuO,β-diketonate,Lu(SiMe3Cp)Cl,HO,0.25,360-370
Lu(iPrCp),β-diketonate,HO,_,330
LuMnO,β-diketonate,Mn(thd),O,0.18,275-300
LuAlO,β-diketonate,TMA,O,0.35,300
Lu(iPrCp),β-diketonate,TDEAA,O,1.30,250
Lu(iPrCp),β-diketonate,TDEAA,HO,1.30,250
LuAlO,β-diketonate,TMA,O,0.19,350
Lu Lu(thd),β-diketonate,O,0.30,230
LuSi,β-diketonate,Lu(tmsa),HO/O,0.60-4.3,280-380
LuGaO,β-diketonate,Ga(CH),O,0.20,350
