idx,raw_ref,best_doi,best_title,best_container_title,best_year,best_volume,best_page,best_article_number,score,decision
24,"[24] S. M. George, B. H. Lee, B. Yoon, A. I. Abdulagatov, R. A. Hall, J. Nanosci. Nanotechnol. 2011, 11, 7948.",10.1166/jnn.2011.5034,Metalcones: Hybrid Organic–Inorganic Films Fabricated Using Atomic and Molecular Layer Deposition Techniques,Journal of Nanoscience and Nanotechnology,2011,11,7948-7955,,50,accepted
25,"[25] T. Tynell, M. Karppinen, in Oxide Thin Films Multilayers Nanocomposites, Springer International Publishing, Cham 2015, pp. 157–179.",10.1007/978-3-319-14478-8_9,Inorganic–Organic Superlattice Thin Films by Atomic/Molecular Layer Deposition,"Oxide Thin Films, Multilayers, and Nanocomposites",2015,,159-179,,25,low_confidence
26,"[26] K. Gregorczyk, M. Knez, Prog. Mater. Sci. 2016, 75, 1.",10.1016/j.pmatsci.2015.06.004,"Hybrid nanomaterials through molecular and atomic layer deposition: Top down, bottom up, and in-between approaches to new materials",Progress in Materials Science,2016,75,Jan-37,,35,accepted
27,"[27] M. Safdar, A. Ghazy, M. Lastusaari, M. Karppinen, J. Mater. Chem. C 2020, 8, 6946.",10.1039/d0tc01216e,Lanthanide-based inorganic–organic hybrid materials for photon-upconversion,Journal of Materials Chemistry C,2020,8,6946-6965,,70,accepted
28,"[28] M. Nieminen, M. Putkonen, L. Niinistö, Appl. Surf. Sci. 2001, 174, 155.",10.1016/s0169-4332(01)00149-0,Formation and stability of lanthanum oxide thin films deposited from β-diketonate precursor,Applied Surface Science,2001,174,155-166,,70,accepted
29,"[29] R. L. Puurunen, A.Delabie, S. Van Elshocht, M. Caymax,M. L.Green, B. Brijs, O. Richard, H. Bender, T. Conard, I. Hoflijk,W. Vandervorst, D. Hellin, D. Vanhaeren, C. Zhao, S. De Gendt, M. Heyns, Appl. Phys. Lett. 2005, 86, 073116.",10.1063/1.1866219,Hafnium oxide films by atomic layer deposition for high-κ gate dielectric applications: Analysis of the density of nanometer-thin films,Applied Physics Letters,2005,86,,73116,70,accepted
30,"[30] S. M. George, Chem. Rev. 2010, 110, 111.",10.1021/cr800433k,Carbon Nanotube−Inorganic Hybrids,Chemical Reviews,2010,110,1348-1385,,45,accepted
31,"[31] M. Leskelä, M. Ritala, Thin Solid Films 2002, 409, 138.",10.1016/s0040-6090(02)00117-7,Atomic layer deposition (ALD): from precursors to thin film structures,Thin Solid Films,2002,409,138-146,,65,accepted
32,"[32] E. Ahvenniemi, M. Matvejeff, M. Karppinen, Dalton Trans. 2015, 44, 8001.",10.1039/c5dt00436e,"Atomic layer deposition of quaternary oxide (La,Sr)CoO<sub>3−δ</sub> thin films",Dalton Transactions,2015,44,8001-8006,,70,accepted
33,"[33] H. Wang, J. J. Wang, R. Gordon, J. S. M. Lehn, H. Li, D. Hong, D. V. Shenai, Electrochem. Solid-State Lett. 2009, 12, G13.",10.1149/1.3074314,Atomic Layer Deposition of Lanthanum-Based Ternary Oxides,Electrochemical and Solid-State Letters,2009,12,G13,,35,accepted
34,"[34] A. Tamm, M. Heikkilä, M. Kemell, J. Kozlova, K. Kukli, V. Sammelselg, M. Ritala, M. Leskelä, Thin Solid Films 2010, 519, 666.",10.1016/j.tsf.2010.08.111,Atomic layer deposition and characterization of zirconium oxide–erbium oxide nanolaminates,Thin Solid Films,2010,519,666-673,,70,accepted
35,"[35] T. Yoshimura, S. Tatsuura, W. Sotoyama, Appl. Phys. Lett. 1991, 59, 482.",10.1063/1.105415,Polymer films formed with monolayer growth steps by molecular layer deposition,Applied Physics Letters,1991,59,482-484,,70,accepted
36,"[36] P. Sundberg, M. Karppinen, Beilstein J. Nanotechnol. 2014, 5, 1104.",10.3762/bjnano.5.123,Organic and inorganic–organic thin film structures by molecular layer deposition: A review,Beilstein Journal of Nanotechnology,2014,5,1104-1136,,50,accepted
37,"[37] J. Multia, M. Karppinen, Adv. Mater. Interfaces 2022, 9, 2200210.",10.1002/admi.202200210,Atomic/Molecular Layer Deposition for Designer's Functional Metal–Organic Materials,Advanced Materials Interfaces,2022,9,,2200210,50,accepted
38,"[38] A. Khayyami, A. Philip, M. Karppinen, Angew. Chem. – Int. Ed. 2019, 58, 13400.",10.1002/anie.201908164,Atomic/Molecular Layer Deposited Iron–Azobenzene Framework Thin Films for Stimuli‐Induced Gas Molecule Capture/Release,Angewandte Chemie International Edition,2019,58,13400-13404,,50,accepted
39,"[39] A. Philip, J. P. Niemelä, G. C. Tewari, B. Putz, T. E. J. Edwards, M. Itoh, I. Utke, M. Karppinen, ACS Appl. Mater. Interfaces 2020, 12, 21912.",10.1021/acsami.0c04665,Flexible ε-Fe<sub>2</sub>O<sub>3</sub>-Terephthalate Thin-Film Magnets through ALD/MLD,ACS Applied Materials &amp; Interfaces,2020,12,21912-21921,,50,accepted
40,"[40] B. H. Lee, B. Yoon, V. R. Anderson, S. M. George, J. Phys. Chem. C 2012, 116, 3250.",10.1021/jp209003h,Alucone Alloys with Tunable Properties Using Alucone Molecular Layer Deposition and Al<sub>2</sub>O<sub>3</sub> Atomic Layer Deposition,The Journal of Physical Chemistry C,2012,116,3250-3257,,70,accepted
41,"[41] A. J. Karttunen, L. Sarnes, R. Townsend, J. Mikkonen, M. Karppinen, Adv. Electron. Mater. 2017, 3, 1600459.",10.1002/aelm.201600459,Flexible Thermoelectric ZnO–Organic Superlattices on Cotton Textile Substrates by ALD/MLD,Advanced Electronic Materials,2017,3,,1600459,50,accepted
42,"[42] R. M. Silva, J. Rocha, R. F. Silva, Nanoscale 2023, 15, 10423.",10.1039/d3nr01610b,ALD/MLD coating of patterned vertically aligned carbon nanotube micropillars with Fe-NH<sub>2</sub>TP hybrids,Nanoscale,2023,15,10423-10429,,70,accepted
43,"[43] Z. Giedraityte, P. Sundberg, M. Karppinen, J. Mater. Chem. C 2015, 3, 12316.",10.1039/c5tc03201f,Flexible inorganic–organic thin film phosphors by ALD/MLD,Journal of Materials Chemistry C,2015,3,12316-12321,,70,accepted
44,"[44] A. Philip, R. Ghiyasi, M. Karppinen, Molecules 2021, 26, 3214.",10.3390/molecules26113214,"Photoactive Thin-Film Structures of Curcumin, TiO2 and ZnO",Molecules,2021,26,3214,,70,accepted
45,"[45] L. Momtazi, H. H. Sønsteby, O. Nilsen, Beilstein J. Nanotechnol. 2019, 9, 399.",10.3762/bjnano.10.39,Biocompatible organic–inorganic hybrid materials based on nucleobases and titanium developed by molecular layer deposition,Beilstein Journal of Nanotechnology,2019,10,399-411,,40,accepted
46,"[46] L. Momtazi, D. A. Dartt, O. Nilsen, J. R. Eidet, J. Biomed. Mater. Res. – Part A 2018, 106, 3090.",10.1002/jbm.a.36499,Molecular layer deposition builds biocompatible substrates for epithelial cells,Journal of Biomedical Materials Research Part A,2018,106,3090-3098,,50,accepted
47,"[47] Z. Giedraityte, J. Sainio, D. Hagen, M. Karppinen, J. Phys. Chem. C 2017, 121, 17538.",10.1021/acs.jpcc.7b06129,Luminescent Metal-Nucleobase Network Thin Films by Atomic/Molecular Layer Deposition,The Journal of Physical Chemistry C,2017,121,17538-17545,,70,accepted
48,"[48] Z. Giedraityte, O. Lopez-Acevedo, L. A. Espinosa Leal, V. Pale, J. Sainio, T. S. Tripathi, M. Karppinen, J. Phys. Chem. C 2016, 120, 26342.",10.1021/acs.jpcc.6b08986,Three-Dimensional Uracil Network with Sodium as a Linker,The Journal of Physical Chemistry C,2016,120,26342-26349,,70,accepted
49,"[49] E. Ahvenniemi, M. Karppinen, Chem. Mater. 2016, 28, 6260.",10.1021/acs.chemmater.6b02496,In Situ Atomic/Molecular Layer-by-Layer Deposition of Inorganic–Organic Coordination Network Thin Films from Gaseous Precursors,Chemistry of Materials,2016,28,6260-6265,,50,accepted
50,"[50] R. L. Puurunen, Chem. Vap. Depos. 2003, 9, 327.",10.1002/cvde.200306266,Growth Per Cycle in Atomic Layer Deposition: Real Application Examplesof a Theoretical Model,Chemical Vapor Deposition,2003,9,327-332,,45,accepted
51,"[51] R. W. Johnson, A. Hultqvist, S. F. Bent, Mater. Today 2014, 17, 236.",10.1016/j.mattod.2014.04.026,A brief review of atomic layer deposition: from fundamentals to applications,Materials Today,2014,17,236-246,,50,accepted
52,"[52] A. C. Jones, H. C. Aspinall, P. R. Chalker, R. J. Potter, K. Kukli, A. Rahtu, M. Ritala, M. Leskelä, Mater Sci Eng B Solid State Mater Adv Technol 2005, 118, 97.",10.1002/adem.200590006,Contents: Adv. Eng. Mater. 4/2005,Advanced Engineering Materials,2005,7,179-182,,15,low_confidence
53,"[53] N. Boysen, D. Zanders, T. Berning, S.M. J. Beer, D. Rogalla, C. Bock, A. Devi, RSC Adv. 2021, 11, 2565.",10.1039/d0ra09876k,Atomic layer deposition of dielectric Y<sub>2</sub>O<sub>3</sub> thin films from a homoleptic yttrium formamidinate precursor and water,RSC Advances,2021,11,2565-2574,,70,accepted
54,"[54] L. Mai, N. Boysen, E. Suba¸sı, T. De Los Arcos, D. Rogalla, G. Grundmeier, C. Bock, H. L. Lu, A. Devi, RSC Adv. 2018, 8, 4987.",10.1039/c7ra13417g,"Water assisted atomic layer deposition of yttrium oxide using tris(<i>N</i>,<i>N</i>′-diisopropyl-2-dimethylamido-guanidinato) yttrium(<scp>iii</scp>): process development, film characterization and functional properties",RSC Advances,2018,8,4987-4994,,70,accepted
55,"[55] A. Ghazy, J. Ylönen, N. Subramaniyam, M. Karppinen, Nanoscale 2023, 15, 15865.",10.1039/d3nr04094a,Atomic/molecular layer deposition of europium–organic thin films on nanoplasmonic structures towards FRET-based applications,Nanoscale,2023,15,15865-15870,,70,accepted
56,"[56] T. Hatanpää, M. Ritala, M. Leskelä, Coord. Chem. Rev. 2013, 257, 3297.",10.1016/j.ccr.2013.07.002,Precursors as enablers of ALD technology: Contributions from University of Helsinki,Coordination Chemistry Reviews,2013,257,3297-3322,,45,accepted
57,"[57] A. Devi, Coord. Chem. Rev. 2013, 257, 3332.",10.1016/j.ccr.2013.07.025,‘Old Chemistries’ for new applications: Perspectives for development of precursors for MOCVD and ALD applications,Coordination Chemistry Reviews,2013,257,3332-3384,,45,accepted
58,"[58] H. Mölsä, L. Niinistö, M. Utriainen, Adv Mater 1994, 4, 389.",10.1002/amo.860040602,Growth of yttrium oxide thin films from β‐diketonate precursor,Advanced Materials for Optics and Electronics,1994,4,389-400,,45,accepted
59,"[59] S. Haukka, T. Suntola, Interface Sci. 1997, 5, 119.",10.1023/a:1008601024870,Advanced Materials Processing by Adsorption Control,Interface Science,1997,5,119-128,,70,accepted
60,"[60] H. Seim, H. Mölsä, M. Nieminen, H. Fjellvåg, L. Niinistö, J. Mater. Chem. 1997, 7, 449.",10.1039/a606316k,Deposition of LaNiO3 thin films in an atomic layer epitaxy reactor,Journal of Materials Chemistry,1997,7,449-454,,50,accepted
61,"[61] P. Kaur, A. Muriqi, J. L. Wree, R. Ghiyasi, M. Safdar, M. Nolan, M. Karppinen, A. Devi, Dalton Trans. 2022, 51, 5603.",10.1039/d2dt00353h,Atomic/molecular layer deposition of cerium(<scp>iii</scp>) hybrid thin films using rigid organic precursors,Dalton Transactions,2022,51,5603-5611,,70,accepted
62,"[62] Z. Fang, P. A. Williams, R. Odedra, H. Jeon, R. J. Potter, J. Cryst. Growth 2012, 338, 111.",10.1016/j.jcrysgro.2011.10.049,Gadolinium nitride films deposited using a PEALD based process,Journal of Crystal Growth,2012,338,111-117,,50,accepted
63,"[63] E. Atosuo, K.Mizohata, M. Mattinen, M. Mäntymäki, M. Vehkamäki, M. Leskelä, M. Ritala, J. Vac. Sci. Technol. A 2022, 40, 022402.",10.1116/6.0001629,Atomic layer deposition of GdF3 thin films,Journal of Vacuum Science &amp; Technology A,2022,40,,22402,50,accepted
64,"[64] J. Rosa, J. Lahtinen, J. Julin, Z. Sun, H. Lipsanen, Materials 2021, 14, 5966.",10.3390/ma14205966,Tuning of Emission Wavelength of CaS:Eu by Addition of Oxygen Using Atomic Layer Deposition,Materials,2021,14,5966,,70,accepted
65,"[65] J. Robertson, Rep. Prog. Phys. 2005, 69, 327.",10.1088/0034-4885/69/2/r02,High dielectric constant gate oxides for metal oxide Si transistors,Reports on Progress in Physics,2005,69,327-396,,45,accepted
66,"[66] G. D. Wilk, R. M. Wallace, J. M. Anthony, J. Appl. Phys. 2001, 89, 5243.",10.1063/1.1361065,High-κ gate dielectrics: Current status and materials properties considerations,Journal of Applied Physics,2001,89,5243-5275,,70,accepted
67,"[67] M. Leskelä, M. Ritala, J. Solid State Chem. 2003, 171, 170.",10.1016/s0022-4596(02)00204-9,Rare-earth oxide thin films as gate oxides in MOSFET transistors,Journal of Solid State Chemistry,2003,171,170-174,,45,accepted
68,"[68] S. Ohmi, C. Kobayashi, I. Kashiwagi, C. Ohshima, H. Ishiwara, H. Iwai, J. Electrochem. Soc. 2003, 150, F134.",10.1149/1.1581278,Characterization of La[sub 2]O[sub 3] and Yb[sub 2]O[sub 3] Thin Films for High-k Gate Insulator Application,Journal of The Electrochemical Society,2003,150,F134,,50,accepted
69,"[69] J. Shi, Y. Hou, W. Chu, X. Shi, H. Gu, B. Wang, Z. Sun, Inorg. Chem. 2013, 52, 5013.",10.1021/ic302726z,Crystal Structure and Highly Luminescent Properties Studies of Bis-β-diketonate Lanthanide Complexes,Inorganic Chemistry,2013,52,5013-5022,,50,accepted
70,"[70] K. Nehra, A. Dalal, A. Hooda, S. Bhagwan, R. K. Saini, B. Mari, S. Kumar, D. Singh, J. Mol. Struct. 2022, 1249, 131531.",10.1016/j.molstruc.2021.131531,Lanthanides β-diketonate complexes as energy-efficient emissive materials: A review,Journal of Molecular Structure,2022,1249,131531,131531,65,accepted
71,"[71] T. Phillips, D. E. Sands, W. F. Wagner, Inorg. Chem. 1968, 7, 2295.",10.1021/ic50069a024,Crystal and molecular structure of diaquotris(acetylacetonato)lanthanum(III),Inorganic Chemistry,1968,7,2295-2299,,50,accepted
72,"[72] B. A. J. Cunningham, D. E. Sands, Inorg. Chem. 1967, 6, 499.",10.1021/ic50049a014,Crystal and molecular structure of yttrium acetylacetonate trihydrate,Inorganic Chemistry,1967,6,499-503,,50,accepted
73,"[73] G. A. M. Hussein, H. M. Ismail, Powder Technol. 1995, 84, 185.",10.1016/0032-5910(95)02984-a,"Characterization of lanthanum oxide formed as a final decomposition product of lanthanum acetylacetonate: thermoanalytical, spectroscopic and microscopic studies",Powder Technology,1995,84,185-190,,70,accepted
74,"[74] D. Barreca, G. A. Battiston, D. Berto, R. Gerbasi, E. Tondello, Surf. Sci. Spectra 2001, 8, 234.",10.1116/11.20020404,"Y
                  2
                O
                  3
           Thin Films Characterized by XPS",Surface Science Spectra,2001,8,234-239,,50,accepted
75,"[75] G. Malandrino, R. Lo Nigro, C. Benelli, F. Castelli, I. L. Fragalà, Chem. Vap. Depos. 2000, 6, 233.",10.1002/1521-3862(200010)6:5<233::aid-cvde233>3.0.co;2-d,Volatile CeIII Hexafluoroacetylacetonate Glyme Adducts as Promising Precursors for the MOCVD of CeO2 Thin Films,Chemical Vapor Deposition,2000,6,233-238,,50,accepted
76,"[76] C. Elschenbroich, Organometallics, 3rd ed., Wiley, Hoboken, NJ 2006.",10.1080/14452294.2006.11649494,F<scp>oreword</scp>,NJ,2006,30,4-Mar,,35,accepted
77,"[77] T. Cuenca, P. Royo, Coord. Chem. Rev. 1999, 193–195, 447.",10.1016/s0010-8545(99)00139-3,Transition metal complexes with functionalized silyl-substituted cyclopentadienyl and related ligands: synthesis and reactivity,Coordination Chemistry Reviews,1999,193-195,447-498,,40,accepted
78,"[78] T. Blanquart, M. Kaipio, J. Niinistö, M. Gavagnin, V. Longo, L. Blanquart, C. Lansalot, W. Noh, H. D. Wanzenböck, M. Ritala, M. Leskelä, Chem. Vap. Depos. 2014, 20, 217.",10.1002/cvde.201407116,Cyclopentadienyl Precursors for the Atomic Layer Deposition of Erbium Oxide Thin Films,Chemical Vapor Deposition,2014,20,217-223,,50,accepted
79,"[79] S. Dueñas, H. Castán, H. García, A. Gómez, L. Bailón, K. Kukli, J. Aarik, M. Ritala, M. Leskelä, J. Electrochem. Soc. 2008, 155, G241.",10.1149/1.2975828,Comparative Study of Flatband Voltage Transients on High-k Dielectric-Based Metal–Insulator–Semiconductor Capacitors,Journal of The Electrochemical Society,2008,155,G241,,40,accepted
80,"[80] H. L. Lu, G. Scarel, L. Lamagna, M. Fanciulli, S. J. Ding, D.W. Zhang, Appl. Phys. Lett. 2008, 93, 152906.",10.1063/1.3002373,Effect of rapid thermal annealing on optical and interfacial properties of atomic-layer-deposited Lu2O3 films on Si (100),Applied Physics Letters,2008,93,,152906,70,accepted
81,"[81] G. Scarel, C. Wiemer, M. Fanciulli, I. L. Fedushkin, G. K. Fukin, G. A. Domrachev, Y. Lebedinskii, A. Zenkevich, G. Pavia, Z. Anorg. Allg. Chem. 2007, 633, 2097.",10.1002/zaac.200700223,[(Me<sub>3</sub>Si)<sub>2</sub>N]<sub>3</sub>Lu: Molecular Structure and Use as Lu and Si Source for Atomic Layer Deposition of Lu Silicate Films,Zeitschrift für anorganische und allgemeine Chemie,2007,633,2097-2103,,50,accepted
82,"[82] J. Päiväsaari, M. Putkonen, L. Niinistö, Thin Solid Films 2005, 472, 275.",10.1016/j.tsf.2004.06.160,A comparative study on lanthanide oxide thin films grown by atomic layer deposition,Thin Solid Films,2005,472,275-281,,65,accepted
83,"[83] J. Niinistö, N. Petrova, M. Putkonen, L. Niinistö, K. Arstila, T. Sajavaara, J. Cryst. Growth 2005, 285, 191.",10.1016/j.jcrysgro.2005.08.002,Gadolinium oxide thin films by atomic layer deposition,Journal of Crystal Growth,2005,285,191-200,,50,accepted
84,"[84] J. Päiväsaari, M. Putkonen, T. Sajavaara, L. Niinistö, J. Alloys Compd. 2004, 374, 124.",10.1016/j.jallcom.2003.11.149,Atomic layer deposition of rare earth oxides: erbium oxide thin films from β-diketonate and ozone precursors,Journal of Alloys and Compounds,2004,374,124-128,,50,accepted
85,"[85] J. S. Wrench, K. Black, H. C. Aspinall, A. C. Jones, J. Bacsa, P. R. Chalker, P. J. King, M. Werner, H. O. Davies, P. N. Heys, Chem. Vap. Depos. 2009, 15, 259.",10.1002/cvde.200904279,MOCVD and ALD of CeO<sub>2</sub> Thin Films using a Novel Monomeric Ce<sup>IV</sup> Alkoxide Precursor,Chemical Vapor Deposition,2009,15,259-261,,50,accepted
86,"[86] J. Päiväsaari, J. Niinistö, K. Arstila, K. Kukli,M. Putkonen, L.Niinistö, Chem. Vap. Depos. 2005, 11, 415.",10.1002/cvde.200506396,High Growth Rate of Erbium Oxide Thin Films in Atomic Layer Deposition from (CpMe)3Er and Water Precursors,Chemical Vapor Deposition,2005,11,415-419,,45,accepted
87,"[87] R. Xu,Q. Tao, Y. Yang, C. G. Takoudis, Appl. Surf. Sci. 2012, 258, 8514.",10.1016/j.apsusc.2012.05.019,Atomic layer deposition and characterization of stoichiometric erbium oxide thin dielectrics on Si(100) using (CpMe)3Er precursor and ozone,Applied Surface Science,2012,258,8514-8520,,70,accepted
88,"[88] B. Kaczer, J. Franco, P. Weckx, P. J. Roussel, V. Putcha, E. Bury, M. Simicic, A. Chasin, D. Linten, B. Parvais, F. Catthoor, G. Rzepa, M. Waltl, T. Grasser, Microelectron Reliab 2018, 81, 186.",10.1016/j.microrel.2017.11.022,A brief overview of gate oxide defect properties and their relation to MOSFET instabilities and device and circuit time-dependent variability,Microelectronics Reliability,2018,81,186-194,,50,accepted
89,"[89] M. Houssa, G. Pourtois, M. M. Heyns, A. Stesmans, J Phys Condens Matter 2005, 17, S2075.",10.1088/0953-8984/17/21/004,Defect generation in high κ gate dielectric stacks under electrical stress: the impact of hydrogen,Journal of Physics: Condensed Matter,2005,17,S2075-S2088,,50,accepted
90,"[90] A. F. Holleman, E. Wiberg, N. Wiberg, Lehrb. Anorg. Chem. 2007, 102, 1315.",10.1515/9783110206845,Lehrbuch der Anorganischen Chemie,,2007,,,,25,low_confidence
91,"[91] M. Lappert, A. Protchenko, P. P. Power, A. Seeber, Metal Amide Chemistry, Wiley, Hoboken, NJ 2009.",10.1080/14452294.2009.12089347,From the <i>NJ</i> Vault: When the Past Reflects the Future,NJ,2009,32,82-82,,35,accepted
92,"[92] D. Zanders, G. Baˇcic, D. Leckie, O. Odegbesan, J. Rawson, J. D. Masuda, A. Devi, S. T. Barry, Angew. Chem., Int. Ed. 2020, 59, 14138.",10.1002/anie.202001518,A Rare Low‐Spin Co<sup>IV</sup> Bis(β‐silyldiamide) with High Thermal Stability: Steric Enforcement of a Doublet Configuration,Angewandte Chemie International Edition,2020,59,14138-14142,,50,accepted
93,"[93] M. Brookhart, M. L. H. Green, G. Parkin, Proc. Natl. Acad. Sci. USA 2007, 104, 6908.",10.1073/pnas.0610747104,Agostic interactions in transition metal compounds,Proceedings of the National Academy of Sciences,2007,104,6908-6914,,50,accepted
94,"[94] K. Kukli, M. Ritala, T. Pilvi, T. Sajavaara, M. Leskelä, A. C. Jones, H. C. Aspinall, D. C. Gilmer, P. J. Tobin, Chem. Mater. 2004, 16, 5162.",10.1021/cm0401793,Evaluation of a Praseodymium Precursor for Atomic Layer Deposition of Oxide Dielectric Films,Chemistry of Materials,2004,16,5162-5168,,50,accepted
