idx,raw_ref,best_doi,best_title,best_container_title,best_year,best_volume,best_page,best_article_number,score,decision
11,"[11] “First Workshop on Atomic-Layer-ETch (ALET) and –Clean (ALC) technology”, April 2014, San Francisco (organized by Craig Huffman, Int. SEMATECH); http://www.sematech.org/meetings/archives/fep/10605/index.htm; In conjunction with ALD 2015, AVS Plasma Science and Technology Division will be hosting a “Workshop on Atomic Layer Etching”, July 1–2, 2015, Portland (Chair, Eric A. Joseph).",10.3917/ae.331.0066,"La conso collaborative, le nouveau bon plan",Alternatives Économiques,2014,N° 331,66-66,,25,low_confidence
12,[12] http://en.wikipedia.org/wiki/The_Tipping_Point.,10.1038/s41597-025-05499-3,Wiki-Quantities and Wiki-Measurements: Datasets of quantities and their measurement context from Wikipedia,Scientific Data,2025,12,,1277,0,low_confidence
13,"[13] P. D. Agnello and P. D. “Process requirements for continued scaling of CMOS - the need and prospects for atomic-level manipulation,” IBM J. Res. Dev., 46(2–3), 317 (2002).",,,,,,,,,no_match
14,"[14] S. Bangsaruntip, G. M. Cohen, A. Majumdar, Y. Zhang, S. U. Engelmann, N. C. M. Fuller, L. M. Gignac, S. Mittal, J. S. Newbury, M. Guillorn, T. Barwicz, L. Sekaric, M. M. Frank, and J. W. Sleight, “High Performance and Highly Uniform Gate-All-Around Silicon NanowireMOSFETs withWire Size Dependent Scaling”, IEDM Baltimore (2009).",10.1017/s1431927609096159,"Precision, Double XTEM Sample Preparation of Site Specific Si Nanowires",Microscopy and Microanalysis,2009,15,330-331,,30,low_confidence
15,"[15] M. Guillorn, J. Chang, A. Pyzyna, S. Engelmann, E. Joseph, B. Fletcher, C. Cabral, Jr., C.-H. Lin, A. Bryant, M. Darnon, J. Ott, C. Lavoie, M. Frank, L. Gignac, J. Newbury, C. Wang, D. Klaus, E. Kratschmer, J. Bucchignano, B. To, W. Graham, I. Lauer, E. Sikorski, S. Carter, V. Narayanan, N. Fuller, Y. Zhang, and W. Haensch, “Trigate 6T SRAM Scaling to 0.06 m2”, IEDM Baltimore (2009).",10.1116/1.3246357,Hydrogen silsesquioxane-based hybrid electron beam and optical lithography for high density circuit prototyping,"Journal of Vacuum Science &amp; Technology B: Microelectronics and Nanometer Structures Processing, Measurement, and Phenomena",2009,27,2588-2592,,30,low_confidence
16,"[16] K. J. Kanarik, G. Kamarthy, and R. A. Gottscho, “Plasma etch challenges for Fin- FET transistors,” Solid State Technology, 55(3), 15 (2012).",,,,,,,,,no_match
17,"[17] F. Schwierz, “Graphene transistors,” Nature Nanotechnology, 5(7), 487 (2010).",10.1038/nnano.2010.89,Graphene transistors,Nature Nanotechnology,2010,5,487-496,,95,accepted
18,"[18] D. Akinwande, N. Petrone, and J. Hone, “Two-dimensional flexible nanoelectronics,” Nature Communications 5 (2014).",10.1038/ncomms6678,Two-dimensional flexible nanoelectronics,Nature Communications,2014,5,,5678,80,accepted
19,"[19] J. L. Zhang, X.Wang, G. Dinakov, and H. Dai, “Narrow graphene nanoribbons from carbon nanotubes,“ Nature, 458, 877 (2009).",10.1038/nature07919,Narrow graphene nanoribbons from carbon nanotubes,Nature,2009,458,877-880,,100,accepted
20,"[20] G. S. Oehrlein and H. L.Williams, “Silicon Etching Mechanisms in a CF4/H2 Glow Discharge”, J. Appl. Phys., 62, 662 (1987).",10.1063/1.339766,Silicon etching mechanisms in a CF4/H2 glow discharge,Journal of Applied Physics,1987,62,662-672,,100,accepted
21,"[21] T. E. F. M. Standaert,M. Schaepkens, N. R. Rueger, P. G. M. Sebel, G. S. Oehrlein, and J. M. Cook, “High-Density Fluorocarbon Etching of Silicon in an Inductively Coupled Plasma: Mechanism of Etching through a Thick Steady-State Fluorocarbon Layer,” J. Vac. Sci. & Technol. A, 16, 239 (1998).",,,,,,,,,no_match
22,"[22] N. R. Rueger, J. J. Beulens, M. Schaepkens, M. F. Doemling, J. M. Mirza, T. E. F. M. Standaert, and G. S. Oehrlein, “The role of steady-state fluorocarbon films in the etching of silicon dioxide using CHF3 in an inductively coupled plasma reactor,” J. Vac. Sci. & Technol. A, 15, 1881 (1997).",,,,,,,,,no_match
23,"[23] M. Schaepkens, T. E. F. M. Standaert, N. R. Rueger, P. G. M. Sebel, and G. S. Oehrlein, “Study of the SiO2-to-Si3N4 etch selectivity mechanism in inductively coupled fluorocarbon plasmas and a comparison with the SiO2-to-Si mechanism,” J. Vac. Sci. & Technol. A, 17, 26 (1999).",,,,,,,,,no_match
24,"[24] T. E. F. M. Standaert, C. Hedlund, E. A. Joseph, G. S. Oehrlein, and T. J. Dalton, “On the role of the fluorocarbon film formation in the etching of silicon, silicon dioxide, silicon nitride, and amorphous hydrogenated silicon carbide,” J. Vac. Sci. & Technol. A, 22, 53 (2004).",10.1007/978-3-662-09897-4_7,"Amorphous Hydrogenated Silicon, a-Si:H",Silicon,2004,,123-137,,55,accepted
25,"[25] A. Sankaran and M. J. Kushner, “Integrated feature scale modeling of plasma processing of porous and solids SiO2. I. Fluorocarbon etching,” Journal of Vacuum Science & Technology A, 22(4), 1242 (2004).",,,,,,,,,no_match
26,"[26] A. Sankaran and M. J. Kushner, “Etching of porous and solid SiO2 in Ar/c-C4F8, O2/c-C4F8 and Ar/O2/c-C4F8 plasmas,” Journal of Applied Physics, 97(2) (2005).",10.1063/1.1866490,Analysis of nonselective plasma etching of AlGaN by CF4∕Ar∕Cl2,Journal of Applied Physics,2005,97,,073302,70,accepted
27,"[27] G. S. Oehrlein andR.Kalish, “Silicon loss and transient etch rate in selective reactive ion etching of oxide overlayers,” App. Phys. Lett., 54, 2698 (1989).",,,,,,,,,no_match
28,"[28] G. S. Oehrlein and Y. Kurogi, “Sidewall Chemistry in Plasma Etching,” Materials Science and Engineering Reports R, 24, 153 (1998).",,,,,,,,,no_match
29,"[29] S. M. George, “Atomic Layer Deposition: An Overview,” Chemical Reviews, 110(1), 111 (2010).",,,,,,,,,no_match
30,"[30] M. Leskel¨a and M. Ritala, “Atomic layer deposition (ALD): from precursors to thin film structures,” Thin Solid Films, 409, 138 (2002).",10.1016/s0040-6090(02)00117-7,Atomic layer deposition (ALD): from precursors to thin film structures,Thin Solid Films,2002,409,138-146,,95,accepted
31,"[31] M. Leskel¨a and M. Ritala, “Atomic layer deposition chemistry: Recent developments and future challenges,” Angewandte Chemie-International Edition, 42, 5548 (2003).",10.1002/anie.200301652,Atomic Layer Deposition Chemistry: Recent Developments and Future Challenges,Angewandte Chemie International Edition,2003,42,5548-5554,,95,accepted
32,"[32] S. M. George, A. W. Ott, and J. W. Klaus, “Surface chemistry for atomic layer growth,” Journal of Physical Chemistry, 100, 13121 (1996).",,,,,,,,,no_match
33,"[33] A. W. Ott, J. W. Klaus, J. M. Johnson, and S. M. George, “Al2O3 thin film growth on Si(100) using binary reaction sequence chemistry,” Thin Solid Films, 292, 135 (1997).",10.1016/s0040-6090(96)08934-1,Al3O3 thin film growth on Si(100) using binary reaction sequence chemistry,Thin Solid Films,1997,292,135-144,,100,accepted
34,"[34] M. D. Groner, J. W. Elam, F. H. Fabreguette, and S. M. George, “Electrical characterization of thin Al2O3 films grown by atomic layer deposition on silicon and various metal substrates,” Thin Solid Films, 413, 186 (2002).",10.1016/s0040-6090(02)00438-8,Electrical characterization of thin Al2O3 films grown by atomic layer deposition on silicon and various metal substrates,Thin Solid Films,2002,413,186-197,,100,accepted
35,"[35] M. D. Groner, F. H. Fabreguette, J. W. Elam, and S. M. George, “Low-temperature Al2O3 atomic layer deposition,” Chemistry of Materials, 16, 639 (2004).",10.1021/cm0304546,Low-Temperature Al<sub>2</sub>O<sub>3</sub> Atomic Layer Deposition,Chemistry of Materials,2004,16,639-645,,100,accepted
36,"[36] H. B. Profijt, S. E. Potts, M. C. M. van de Sanden, andW. M. M. Kessels, “Plasma- Assisted Atomic Layer Deposition: Basics, Opportunities, and Challenges,” Journal of Vacuum Science & Technology A, 29(5), 050801 (2011).",,,,,,,,,no_match
37,"[37] S. E. Potts and W. M. M. Kessels, “Energy-enhanced atomic layer deposition for more process and precursor versatility,” Coord. Chem. Rev., 257(23–24), 3254 (2013).",10.1002/9781118747407.ch1,Fundamentals of Atomic Layer Deposition,Atomic Layer Deposition,2013,,31-Jan,,55,accepted
38,"[38] H. Kim and I. K. Oh, “Review of plasma-enhanced atomic layer deposition: Technical enabler of nanoscale device fabrication,” Jpn. J. Appl. Phys., 53(3) 03DA01 (2014).",10.1039/c4nr04148h,Highly reproducible planar Sb<sub>2</sub>S<sub>3</sub>-sensitized solar cells based on atomic layer deposition,Nanoscale,2014,6,14549-14554,,60,accepted
39,"[39] H. C. M. Knoops, E. Langereis, M. C. M. van de Sanden, and W. M. M. Kessels, “Conformality of Plasma-Assisted ALD: Physical Processes and Modeling,” Journal of the Electrochemical Society, 157(12), G241 (2010).",10.1149/1.3491381,Conformality of Plasma-Assisted ALD: Physical Processes and Modeling,Journal of The Electrochemical Society,2010,157,G241,,100,accepted
40,"[40] S. D. Park, D. H. Lee, and G. Y. Yeom, “Atomic layer etching of Cl-adsorbed silicon by using a low-angle forward reflected Ar neutral beam,” Journal of the Korean Physical Society, 47(3), 469 (2005).",10.3938/jkps.47.292,Metal/Insulator/Semiconductor Structure Using Ga2O3 Layer by Plasma Enhanced Atomic Layer Depositions,Journal of the Korean Physical Society,2005,47,292,,70,accepted
41,"[41] S. D. Park,D. H. Lee, and G. Y.Yeom, “Atomic layer etching of Si(100) and Si(111) using Cl2 and Ar neutral beam,” Electrochemical and Solid State Letters, 8(8), C106 (2005).",10.1149/1.1938848,Atomic Layer Etching of Si(100) and Si(111) Using Cl[sub 2] and Ar Neutral Beam,Electrochemical and Solid-State Letters,2005,8,C106,,100,accepted
42,"[42] D. J. Economou, “Fast (tens to hundreds of eV) neutral beams for materials processing,” Journal of Physics D-Applied Physics, 41, 024001 (2008).",10.1088/0022-3727/41/2/024001,Fast (tens to hundreds of eV) neutral beams for materials processing,Journal of Physics D: Applied Physics,2008,41,024001,,95,accepted
43,"[43] T. Meguro, M. Hamagaki, S. Modaressi, T. Hara, Y. Aoyagi, M. Ishii, and Y. Yamamoto, “Digital Etching of GaAs - New Approach of Dry Etching to Atomic Ordered Processing,” Applied Physics Letters, 56(16), 1552 (1990).",10.1063/1.103171,Digital etching of GaAs: New approach of dry etching to atomic ordered processing,Applied Physics Letters,1990,56,1552-1554,,100,accepted
44,"[44] M. Ishii, T.Meguro, K. Gamo, T. Sugano, andY.Aoyagi, “Digital Etching Using Krf Excimer-Laser - Approach to Atomic-Order-Controlled Etching by Photo Induced Reaction,” Japanese Journal of Applied Physics Part 1-Regular Papers Short Notes & Review Papers, 32(12B), 6178 (1993).",10.1143/jjap.32.6178,Digital Etching Using KrF Excimer Laser: Approach to  Atomic-Order-Controlled Etching by Photo Induced Reaction,Japanese Journal of Applied Physics,1993,32,6178,,65,accepted
45,"[45] E.g. see, K. Nakayama,C. M. Aldao, and J. H.Weaver, “Halogen etching of Si(100)- 2×1: Dependence on surface concentration,” Physical Review B, 59, 15893 (1999).",10.1103/physrevb.59.15893,Halogen etching of Si(100)-2×1: Dependence on surface concentration,Physical Review B,1999,59,15893-15901,,100,accepted
46,"[46] H. Shin, W. Y. Zhu, V. M. Donnelly, and D. J. Economou, “Surprising importance of photo-assisted etching of silicon in chlorine-containing plasmas,” Journal of Vacuum Science & Technology A, 30(2) (2012).",10.1016/j.vacuum.2012.05.005,Comparison of models for silicon etching in CF4 + O2 plasma,Vacuum,2012,86,1964-1968,,55,accepted
47,"[47] S. D. Park, W. S. Lim, B. J. Park, H. C. Lee, J. W. Bae, and G. Y. Yeom, “Precise depth control and low-damage atomic-layer etching of HfO2 using BCl3 and Ar neutral beam,” Electrochemical and Solid State Letters, 11(4), H71 (2008).",10.1149/1.2832427,Precise Depth Control and Low-Damage Atomic-Layer Etching of HfO[sub 2] using BCl[sub 3] and Ar Neutral Beam,Electrochemical and Solid-State Letters,2008,11,H71,,100,accepted
48,"[48] A. Ludviksson, M. D. Xu, and R. M. Martin, “Atomic Layer Etching Chemistry of Cl2 on GaAs(100),” Surface Science, 277, 282 (1992).",10.1016/0039-6028(92)90769-3,Atomic layer etching chemistry of Cl2 on GaAs(100),Surface Science,1992,277,282-300,,100,accepted
49,"[49] J. C. Patrin, Y. Z. Li, M. Chander, and J. H. Weaver, “Atomic Layer Etching of GaAs(110) with Br2 Studied by Scanning Tunneling Microscopy,” Applied Physics Letters, 62, 1277 (1993).",10.1063/1.108706,Atomic layer etching of GaAs(110) with Br2 studied by scanning tunneling microscopy,Applied Physics Letters,1993,62,1277-1279,,100,accepted
50,"[50] J. C. Patrin and J. H. Weaver, “Br2 and Cl2 Adsorption and Etching of GaAs(110) Studied by Use of Scanning-Tunneling-Microscopy,” Physical Review B, 48, 17913 (1993).",10.1103/physrevb.48.17913,"<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mrow><mml:msub><mml:mrow><mml:mi mathvariant=""normal"">Br</mml:mi></mml:mrow><mml:mrow><mml:mn>2</mml:mn></mml:mrow></mml:msub></mml:mrow></mml:math>and<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mrow><mml:msub><mml:mrow><mml:mi mathvariant=""normal"">Cl</mml:mi></mml:mrow><mml:mrow><mml:mn>2</mml:mn></mml:mrow></mml:msub></mml:mrow></mml:math>adsorption and etching of GaAs(110) studied by use of scanning tunneling microscopy",Physical Review B,1993,48,17913-17921,,100,accepted
51,"[51] H. F. Winters and J. W. Coburn, “Surface Science Aspects of Etching Reactions,” Surf. Sci. Rep., 14, 161 (1992).",10.1016/0039-6028(92)91112-o,Tamm states in superlattices,Surface Science,1992,267,161-165,,75,accepted
52,"[52] D. Rioux, F. Stepniak, R. J. Pechman, and J. H. Weaver, “Chemisorption and Thermally Activated Etching of Si(100)-2×1 by Iodine,” Physical Review B, 51(16), 10981 (1995).",10.1103/physrevb.51.10981,Chemisorption and thermally activated etching of Si(100)-2×1 by iodine,Physical Review B,1995,51,10981-10988,,100,accepted
53,"[53] R. J. Pechman, X. S.Wang, and J. H.Weaver, “Interactions of Br with Si(111)-7×7 - Chemisorption, Step Retreat, and Terrace Etching,” Physical Review B, 52, 11412 (1995).",10.1103/physrevb.52.11412,"Interactions of Br with Si(111)-7×7: Chemisorption, step retreat, and terrace etching",Physical Review B,1995,52,11412-11423,,100,accepted
54,"[54] C. M. Aldao and J. H.Weaver, “Halogen etching of Si via atomic-scale processes,” Progress in Surface Science, 68(4–6), 189 (2001).",10.1016/s0079-6816(01)00047-8,Halogen etching of Si via atomic-scale processes,Progress in Surface Science,2001,68,189-230,,100,accepted
55,"[55] C. M. Aldao, Abhishek Agrawal, R. E. Butera, and J. H.Weaver, “Atomic processes during Cl supersaturation etching of Si(100)-(2×1),” Physical Review B, 79, 125303 (2009).",10.1103/physrevb.79.125303,"Atomic processes during Cl supersaturation etching of<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mrow><mml:mtext>Si</mml:mtext><mml:mrow><mml:mo>(</mml:mo><mml:mrow><mml:mn>100</mml:mn></mml:mrow><mml:mo>)</mml:mo></mml:mrow><mml:mtext>−</mml:mtext><mml:mrow><mml:mo>(</mml:mo><mml:mrow><mml:mn>2</mml:mn><mml:mo>×</mml:mo><mml:mn>1</mml:mn></mml:mrow><mml:mo>)</mml:mo></mml:mrow></mml:mrow></mml:math>",Physical Review B,2009,79,,125303,100,accepted
56,"[56] J. J. Boland and J. H. Weaver, “A surface view of etching,” Phys. Today, 51(8), 34 (1998).",,,,,,,,,no_match
57,"[57] P. A. Maki and D. J. Ehrlich, “Laser Bilayer Etching of Gaas-Surfaces,” Applied Physics Letters, 55(2), 91 (1989).",10.1063/1.102097,Laser bilayer etching of GaAs surfaces,Applied Physics Letters,1989,55,91-93,,100,accepted
58,"[58] Young I. Jhon, Kyung S. Min, G. Y. Yeom, and Young Min Jhon, “Understanding time-resolved processes in atomic-layer etching of ultra-thin Al2O3 film using BCl3 and Ar neutral beam,” Applied Physics Letters, 105(9), 093104 (2014).",10.1063/1.4894523,Understanding time-resolved processes in atomic-layer etching of ultra-thin Al2O3 film using BCl3 and Ar neutral beam,Applied Physics Letters,2014,105,,093104,100,accepted
59,"[59] K. S. Min, S. H. Kang, J. K. Kim, Y. I. Jhon, M. S. Jhon, and G. Y. Yeom, “Atomic layer etching of Al2O3 using BCl3/Ar for the interface passivation layer of III-V MOS devices,” Microelectronic Engineering, 110, 457 (2013).",10.1016/j.mee.2013.03.170,Atomic layer etching of Al2O3 using BCl3/Ar for the interface passivation layer of III–V MOS devices,Microelectronic Engineering,2013,110,457-460,,100,accepted
60,"[60] K. S. Min, S. H. Kang, J. K. Kim, J. H. Yum, Y. I. Jhon, W. Todd Hudnall, C. W. Bielawski, S. K. Banerjee, G. Bersuker,M. S. Jhon, and G. Y. Yeom, “Atomic layer etching of BeO using BCl3/Ar for the interface passivation layer of III-V MOS devices,” Microelectronic Engineering, 114, 121 (2014).",10.1016/j.mee.2013.10.003,Atomic layer etching of BeO using BCl3/Ar for the interface passivation layer of III–V MOS devices,Microelectronic Engineering,2014,114,121-125,,100,accepted
61,"[61] T. Meguro, M. Ishii, H. Kodama, M. Hamagaki, T. Hara, Y. Yamamoto, and Y. Aoyagi, “Layer-by-Layer Controlled Digital Etching by Means of an Electron- Beam-Excited Plasma System,” Japanese Journal of Applied Physics Part 1-Regular Papers Short Notes & Review Papers, 29, 2216 (1990).",10.1143/jjap.29.2216,Layer-By-Layer Controlled Digital Etching by Means of an Electron-Beam-Excited Plasma System,Japanese Journal of Applied Physics,1990,29,2216,,100,accepted
62,"[62] T. Meguro, M. Ishii, K. Kodama, Y. Yamamoto, K. Gamo, and Y. Aoyagi, “Surface Processes in Digital Etching of GaAs,” Thin Solid Films, 225(1–2), 136 (1993).",10.1016/0040-6090(93)90142-c,Surface processes in digital etching of GaAs,Thin Solid Films,1993,225,136-139,,100,accepted
63,"[63] M. Ishii, T. Meguro, H. Kodama, Y. Yamamoto, and Y. Aoyagi, “Study of Surface Processes in the Digital Etching of GaAs,” Japanese Journal of Applied Physics Part 1-Regular Papers Short Notes & Review Papers, 31(7), 2212 (1992).",10.1143/jjap.31.2212,Study of Surface Processes in the Digital Etching of GaAs,Japanese Journal of Applied Physics,1992,31,2212,,100,accepted
64,"[64] M. Ishii, T. Meguro, T. Sugano, K. Gamo, and Y. Aoyagi, “Digital Etching by Using a Laser-Beam - on the Control of Digital Etching Products,” Applied Surface Science, 80, 104 (1994).",10.1016/0169-4332(94)90396-4,Digital etching by using a laser beam: on the control of digital etching products,Applied Surface Science,1994,79-80,104-109,,85,accepted
65,"[65] Y. Aoyagi, K. Shinmura, K. Kawasaki, T. Tanaka, K. Gamo, S. Namba, and I. Nakamoto, “Molecular Layer Etching of GaAs,” Applied Physics Letters, 60(8), 968 (1992).",10.1063/1.106477,Molecular layer etching of GaAs,Applied Physics Letters,1992,60,968-970,,100,accepted
66,"[66] K. K.Ko and S. W. Pang, “Controllable Layer-by-Layer Etching of III-V Compound Semiconductors with an Electron-Cyclotron-Resonance Source,” Journal ofVacuum Science & Technology B, 11(6), 2275 (1993).",10.1116/1.586889,,,,,,,,accepted
67,"[67] W. S. Lim, S. D. Park, B. J. Park, and G. Y. Yeom, “Atomic layer etching of (100)/(111) GaAs with chlorine and low angle forward reflected Ne neutral beam,” Surface & Coatings Technology, 202, 5701 (2008).",10.1016/j.surfcoat.2008.06.123,,,,,,,,accepted
68,"[68] N. Otsuka, Y. Oyama, H. Kikuchi, J. Nishizawa, and K. Suto, “Digital etching of (001) InP substrate by intermittent injection of tertiarybutylphosphine in ultrahigh vacuum,” Japanese Journal of Applied Physics Part 2-Letters, 37(12B), L1509 (1998).",10.1143/JJAP.37.L1509,,,,,,,,accepted
69,"[69] S. D. Park, C. K. Oh, J. W. Bae, G. Y. Yeom, T. W. Kim, J. I. Song, and J. H. Jang, “Atomic layer etching of InP using a low angle forward reflected Ne neutral beam,” Applied Physics Letters, 89, 043109 (2006).",10.1063/1.2221504,Atomic layer etching of InP using a low angle forward reflected Ne neutral beam,Applied Physics Letters,2006,89,,043109,100,accepted
70,"[70] S. D. Park, C. K. Oh, W. S. Lim, H. C. Lee, J. W. Bae, G. Y. Yeom, T. W. Kim, J. I. Song, and J. H. Jang, “Highly selective and low damage atomic layer etching of InP/InAIAs heterostructures for high electron mobility transistor fabrication,” Applied Physics Letters, 91, 013110 (2007).",10.1063/1.2754636,Highly selective and low damage atomic layer etching of InP∕InAlAs heterostructures for high electron mobility transistor fabrication,Applied Physics Letters,2007,91,,013110,100,accepted
71,"[71] T. W. Kim, D. H. Kim, S. D. Park, S. H. Shin, S. J. Jo, H. J. Song, Y. M. Park, J. O. Bae, Y. W. Kim, G. Y. Yeom, J. H. Jang, and J. I. Song, “A two-step-recess process based on atomic-layer etching for high-performance In0.52Al0.48As/In0.53Ga0.47As p-HEMTs,” IEEE Transactions on Electron Devices, 55(7), 1577 (2008).",10.1109/ted.2008.923522,A Two-Step-Recess Process Based on Atomic-Layer Etching for High-Performance $\hbox{In}_{0.52}\hbox{Al}_{0.48}\hbox{As}\hbox{/}\hbox{In}_{0.53} \hbox{Ga}_{0.47}\hbox{As}$ p-HEMTs,IEEE Transactions on Electron Devices,2008,55,1577-1584,,100,accepted
72,"[72] T. Sugiyama, T. Matsuura, and J. Murota, “Atomic-layer etching of Ge using an ultraclean ECR plasma,” Applied Surface Science, 112, 187 (1997).",10.1016/s0169-4332(96)01026-4,Atomic-layer etching of Ge using an ultraclean ECR plasma,Applied Surface Science,1997,112,187-190,,100,accepted
73,"[73] T. Matsuura, T. Sugiyama, and J. Murota, “Atomic-layer surface reaction of chlorine on Si and Ge assisted by an ultraclean ECR plasma,” Surface Science, 402, 202 (1998).",10.1016/s0039-6028(97)00994-1,Atomic-layer surface reaction of chlorine on Si and Ge assisted by an ultraclean ECR plasma,Surface Science,1998,402-404,202-205,,85,accepted
74,"[74] W. S. Lim, Y. Y. Kim, H. Kim, S. Jang, N. Kwon, B. J. Park, J. H. Ahn, I. Chung, B. H. Hong, and G. Y. Yeom, “Atomic layer etching of graphene for full graphene device fabrication,” Carbon, 50(2), 429 (2012).",10.1016/j.carbon.2011.08.058,Atomic layer etching of graphene for full graphene device fabrication,Carbon,2012,50,429-435,,100,accepted
75,"[75] Y. Y. Kim, W. S. Lim, J. B. Park, and G. Y. Yeom, “Layer by Layer Etching of the Highly Oriented Pyrolythic Graphite by Using Atomic Layer Etching,” Journal of the Electrochemical Society, 158(12), D710 (2011).",10.1149/2.061112jes,Layer by Layer Etching of the Highly Oriented Pyrolythic Graphite by Using Atomic Layer Etching,Journal of The Electrochemical Society,2011,158,D710,,100,accepted
76,"[76] J. B. Park, W. S. Lim, B. J. Park, I. H. Park, Y. W. Kim, and G. Y. Yeom, “Atomic layer etching of ultra-thin HfO2 film for gate oxide in MOSFET devices,” Journal of Physics D-Applied Physics, 42, 055202 (2009).",10.1088/0022-3727/42/5/055202,Atomic layer etching of ultra-thin HfO<sub>2</sub>film for gate oxide in MOSFET devices,Journal of Physics D: Applied Physics,2009,42,055202,,100,accepted
77,"[77] K. S. Min, C. Y. Kang, C. Park, C. S. Park, B. J. Park, J. B. Park, M. M. Hussain, J. C. Lee, B. H. Lee, P. Kirsch, H. H. Tseng, R. Jammy, and G. Y. Yeom, “A Novel Damage-Free High-k Etch Technique Using Neutral Beam-Assisted Atomic Layer Etching (NBALE) for Sub-32nm Technology Node Low Power Metal Gate/Highk Dielectric CMOSFETs,” in 2009 IEEE International Electron Devices Meeting (IEEE, New York, 2009), pp. 406.",10.1109/IEDM.2009.5424330,Aesthetics,Social Text,2009,27,27-34,,25,accepted
78,"[78] E. Vogli, D. Metzler, and G. S. Oehrlein, “Feasibility of atomic layer etching of polymer material based on sequential O2 exposure and Ar low-pressure plasmaetching,” Applied Physics Letters, 102, 253105 (2013).",10.1063/1.4812750,Feasibility of atomic layer etching of polymer material based on sequential O2 exposure and Ar low-pressure plasma-etching,Applied Physics Letters,2013,102,,253105,100,accepted
79,"[79] Y. Horiike, T. Tanaka, M. Nakano, S. Iseda, H. Sakaue, A. Nagata, H. Shindo, S. Miyazaki, andM. Hirose, “Digital Chemical Vapor-Deposition and Etching Technologies for Semiconductor Processing,” Journal of Vacuum Science & Technology a-Vacuum Surfaces and Films, 8(3), 1844 (1990).",10.1116/1.576814,,,,,,,,accepted
