orkg:P183144,orkg:P183145,orkg:P183146,orkg:P183147,paper:doi,paper:research_field
resource:W,"resource:O2,O3","resource:BCl3,HF",resource:TMA,10.1021/acsami.7b09161,R254
resource:W,"resource:O2,O3",resource:WF6,resource:TMA,10.1021/acsami.7b19024,R254
resource:W,"resource:O2,O3",resource:WCl6,resource:TMA,10.1116/1.5134430,R254
resource:WO3,"resource:O2,O3","resource:BCl3,HF",resource:TMA,10.1021/acsami.7b09161,R254
resource:ZnO,resource:Hacac,resource:O2 plasma,resource:TMA,10.1021/acsami.8b12767,R254
resource:ZnO,resource:HF,resource:TMA,resource:TMA,10.1021/acs.chemmater.6b04529,R254
resource:ZrO2,resource:HF,"resource:Sn(acac)2,TMA,DMAC,SiCl4",resource:TMA,10.1021/acs.chemmater.6b02543,R254
resource:ZrO2,resource:HF,resource:DMAC,resource:TMA,10.1021/acs.jpcc.9b04767,R254
resource:ZrO2,"resource:HF,DFTstudyoffluorinationreaction",resource:DMAC,resource:TMA,10.1016/j.chempr.2020.01.004,R254
resource:ZrO2,resource:HF,"resource:DMAC,TiCl4",resource:TMA,10.1109/VLSI-TSA.2019.8804645,R254
