idx,raw_ref,best_doi,best_title,best_container_title,best_year,best_volume,best_page,best_article_number,score,decision
25,"[25] R. Nicholas, Johnson, S.M. George, ACS Appl. Mater. Interfaces 9 (2017) 34435–34447.",10.1021/acsami.7b09161,WO<sub>3</sub> and W Thermal Atomic Layer Etching Using “Conversion-Fluorination” and “Oxidation-Conversion-Fluorination” Mechanisms,ACS Applied Materials &amp; Interfaces,2017,9,34435-34447,,25,low_confidence
26,"[26] Y. Lee, J.W. DuMont, S.M. George, Chem. Mater. 28 (2016) 2994–3003.",10.1021/acs.chemmater.6b00111,"Trimethylaluminum as the Metal Precursor for the Atomic Layer Etching of Al<sub>2</sub>O<sub>3</sub> Using Sequential, Self-Limiting Thermal Reactions",Chemistry of Materials,2016,28,2994-3003,,25,low_confidence
27,"[27] J.C. Lockhart, Chem. Rev. 65 (1965) 131–151.",10.1021/cr60233a004,Redistribution and Exchange Reactions in Groups IIB-VIIB,Chemical Reviews,1965,65,131-151,,20,low_confidence
28,"[28] H.W. Roesky, I.J. Haiduc, Chem. Soc., Dalton Trans. (1999) 2249–2264.",10.1039/a901728c,"Fluorine as a structure-directing element in organometallic fluorides: discrete molecules, supramolecular self-assembly and host–guest complexation †","Journal of the Chemical Society, Dalton Transactions",1999,,2249-2264,,25,low_confidence
29,"[29] Y. Lee, C. Huffman, S.M. George, Chem. Mater. 28 (2016) 7657–7665.",10.1021/acs.chemmater.6b02543,"Selectivity in Thermal Atomic Layer Etching Using Sequential, Self-Limiting Fluorination and Ligand-Exchange Reactions",Chemistry of Materials,2016,28,7657-7665,,25,low_confidence
30,"[30] N.R. Johnson, H. Sun, K. Sharma, S.M. George, J. Vac. Sci. Technol. A 34 (2016) 050603.",10.1116/1.4962725,"Publisher's Note: “Toward printing molecular nanostructures from microstructured samples in ultrahigh vacuum” [J. Vac. Sci. Technol. B <b>34</b>, 011801 (2016)]","Journal of Vacuum Science &amp; Technology B, Nanotechnology and Microelectronics: Materials, Processing, Measurement, and Phenomena",2016,34,,053401,15,low_confidence
31,"[31] Y. Lee, J.W. DuMont, S.M. George, J. Phys. Chem. C 119 (2015) 25385–25393.",10.1021/acs.jpcc.5b07236,"Atomic Layer Etching of AlF<sub>3</sub> Using Sequential, Self-Limiting Thermal Reactions with Sn(acac)<sub>2</sub> and Hydrogen Fluoride",The Journal of Physical Chemistry C,2015,119,25385-25393,,25,low_confidence
32,"[32] J.K. Kang, J. Chem. Phys. 116 (2002) 275–280.",10.1063/1.1420729,The mechanism of HF/H2O chemical etching of SiO2,The Journal of Chemical Physics,2002,116,275-280,,20,low_confidence
33,"[33] R. David, Zywotko, S.M. George, Chem. Mater. 29 (2017) 1183–1191.",10.1021/acs.chemmater.6b04529,Thermal Atomic Layer Etching of ZnO by a “Conversion-Etch” Mechanism Using Sequential Exposures of Hydrogen Fluoride and Trimethylaluminum,Chemistry of Materials,2017,29,1183-1191,,25,low_confidence
34,"[34] W.Y. Xie, C. Paul, Lemaire, G.N. Parsons, ACS Appl. Mater. Interfaces 10 (2018) 9147–9154.",10.1021/acsami.7b19024,Thermally Driven Self-Limiting Atomic Layer Etching of Metallic Tungsten Using WF<sub>6</sub> and O<sub>2</sub>,ACS Applied Materials &amp; Interfaces,2018,10,9147-9154,,25,low_confidence
35,"[35] D. Choi, K. Barmak, Electron. Mater. Lett. 13 (2017) 449–456.",10.1007/s13391-017-1610-5,On the potential of tungsten as next-generation semiconductor interconnects,Electronic Materials Letters,2017,13,449-456,,25,low_confidence
36,"[36] H.J. Kim, Vac. Sci. Technol., B: Microelectron. Process. Phenom. 21 (2003) 2231–2261.",10.1108/02634500310458126,The internationalization of US Internet portals: does it fit the process model of internationalization?,Marketing Intelligence &amp; Planning,2003,21,23-36,,20,low_confidence
