"Title","phosphor material","emission color","ald scheme (precursors)","deposition temperature [°c]","coating material","optimal coating thickness [nm]","research problem"
"The study of phosphate-based phosphor powders coated by atomic layer deposition of Al<sub>2</sub>O<sub>3</sub> - Contribution 1","Dy3+, Mn4+, Ca9K(PO4)7:Eu2+","red","TMA/H2O","75","Al2O3","50 (500c)","Optimizing ALD coatings for phosphor stability and performance across materials, precursors, temperatures, and thicknesses"
"Effects of Surface Modification on Optical Properties and Thermal Stability of K<sub>2</sub>SiF<sub>6</sub>:Mn<sup>4+</sup> Red Phosphors by Deposition of an Ultrathin Al<sub>2</sub>O<sub>3</sub> Layer Using Gas-Phase Deposition in a Fluidized Bed Reactor - Contribution 1","K2SiF6:Mn4+","red","TMA/O3","120, 50","Al2O3","","Optimizing ALD coatings for phosphor stability and performance across materials, precursors, temperatures, and thicknesses"
"Stabilizing Fluoride Phosphors: Surface Modification by Atomic Layer Deposition - Contribution 1","K2SiF6:Mn4+","red","TMA/O2, TMA/H2O","100","Al2O3","","Optimizing ALD coatings for phosphor stability and performance across materials, precursors, temperatures, and thicknesses"
"Stabilizing Fluoride Phosphors: Surface Modification by Atomic Layer Deposition - Contribution 2","K2SiF6:Mn4+","red","TDMAT/H2O","100","TiO2","","Optimizing ALD coatings for phosphor stability and performance across materials, precursors, temperatures, and thicknesses"
"Enhanced thermal degradation stability of the Sr<sub>2</sub>Si<sub>5</sub>N<sub>8</sub>:Eu<sup>2+</sup> phosphor by ultra-thin Al<sub>2</sub>O<sub>3</sub> coating through the atomic layer deposition technique in a fluidized bed reactor - Contribution 1","Sr2Si5N8:Eu2+","red","TMA/O3, TMA/H2O","30–200","Al2O3","8–10 (15–30c)","Optimizing ALD coatings for phosphor stability and performance across materials, precursors, temperatures, and thicknesses"
"Dual‐Shelled RbLi(Li<sub>3</sub>SiO<sub>4</sub>)<sub>2</sub>:Eu<sup>2+</sup>@Al<sub>2</sub>O<sub>3</sub>@ODTMS Phosphor as a Stable Green Emitter for High‐Power LED Backlights - Contribution 1","RbLi(Li3SiO4)2:Eu2+","green","TMA/H2O","60","Al2O3","","Optimizing ALD coatings for phosphor stability and performance across materials, precursors, temperatures, and thicknesses"
"Dual‐Shelled RbLi(Li<sub>3</sub>SiO<sub>4</sub>)<sub>2</sub>:Eu<sup>2+</sup>@Al<sub>2</sub>O<sub>3</sub>@ODTMS Phosphor as a Stable Green Emitter for High‐Power LED Backlights - Contribution 2","RbLi(Li3SiO4)2:Eu2+","green","TMA/H2O","120","Al2O3","","Optimizing ALD coatings for phosphor stability and performance across materials, precursors, temperatures, and thicknesses"
"Atomic layer deposition (ALD) of nanoscale coatings on SrAl<sub>2</sub>O<sub>4</sub>‐based phosphor powders to prevent aqueous degradation - Contribution 1","Dy3+, SrAl2O4:Eu2+","green","TMA/H2O","120","Al2O3","","Optimizing ALD coatings for phosphor stability and performance across materials, precursors, temperatures, and thicknesses"
"Atomic layer deposition (ALD) of nanoscale coatings on SrAl<sub>2</sub>O<sub>4</sub>‐based phosphor powders to prevent aqueous degradation - Contribution 2","Dy3+, SrAl2O4:Eu2+","green","TiCl4/H2O","120","TiO2","","Optimizing ALD coatings for phosphor stability and performance across materials, precursors, temperatures, and thicknesses"
"Systematic treatment and evaluation of nitride phosphor with hybrid layer modification against moisture degradation - Contribution 1","Sr[LiAl3N4]:Eu2+","red","TDMASi/O3","150","SiO2","","Optimizing ALD coatings for phosphor stability and performance across materials, precursors, temperatures, and thicknesses"
"Waterproof surface passivation of K<sub>2</sub>GeF<sub>6</sub>:Mn<sup>4+</sup> by a dense Al<sub>2</sub>O<sub>3</sub> layer <i>via</i> atomic layer deposition - Contribution 1","K2GeF6:Mn4+","red","TMA/O3","90","Al2O3","(30c)","Optimizing ALD coatings for phosphor stability and performance across materials, precursors, temperatures, and thicknesses"
"Aqueous degradation and atomic layer deposition (ALD) stabilization of BaAl2O4: Eu2+, Dy3+ long afterglow phosphors - Contribution 1","Dy3+, BaAl2O4:Eu2+","blue-green","TMA/H2O","150","Al2O3","","Optimizing ALD coatings for phosphor stability and performance across materials, precursors, temperatures, and thicknesses"
"Enhancing thermal degradation stability of BaSi2O2N2:Eu2+ for white light-emitting diodes by ultra-thin Al2O3 layer via atomic layer deposition - Contribution 1","BaSi2O2N2:Eu2+","blue-green","TMA/O3","100","Al2O3","11±1 (20c)","Optimizing ALD coatings for phosphor stability and performance across materials, precursors, temperatures, and thicknesses"
