"Title","host material","dopant","application","research problem"
"Optical properties of Y2O3 thin films doped with spatially controlled Er3+ by atomic layer deposition - Contribution 1","Y2O3","Eu, Er","Luminescence","Mapping dopant–host combinations in ALD thin films"
"Polycrystalline Er-doped Y<sub>3</sub>Ga<sub>5</sub>O<sub>12</sub> nanofilms fabricated by atomic layer deposition on silicon at a low temperature and the exploration on electroluminescence performance - Contribution 1","Y3Ga5O12","Er","Luminescence","Mapping dopant–host combinations in ALD thin films"
"Atomic Layer Deposition and Characterization of Dysprosium‐Doped Zirconium Oxide Thin Films - Contribution 1","ZrO2","Dy, La, Y","Interphase, Electrolyte","Mapping dopant–host combinations in ALD thin films"
"Atomic layer deposition of LSM cathodes for solid oxide fuel cells - Contribution 1","ZrO2","Dy, La, Y","Interphase, Electrolyte","Mapping dopant–host combinations in ALD thin films"
"Surface Modification of Yttria-Stabilized Zirconia Electrolyte by Atomic Layer Deposition - Contribution 1","ZrO2","Dy, La, Y","Interphase, Electrolyte","Mapping dopant–host combinations in ALD thin films"
"Atomic Layer Deposition of Y[sub 2]O[sub 3]∕ZrO[sub 2] Nanolaminates - Contribution 1","ZrO2","Dy, La, Y","Interphase, Electrolyte","Mapping dopant–host combinations in ALD thin films"
"Thermally induced permittivity enhancement in La-doped ZrO2 grown by atomic layer deposition on Ge(100) - Contribution 1","ZrO2","Dy, La, Y","Electrolyte, Interphase","Mapping dopant–host combinations in ALD thin films"
"Intermediate-Temperature Ceramic Fuel Cells with Thin Film Yttrium-Doped Barium Zirconate Electrolytes - Contribution 1","ZrO2","Dy, La, Y","Electrolyte, Interphase","Mapping dopant–host combinations in ALD thin films"
"Atomic Layer Deposition of High-Permittivity Yttrium-Doped HfO[sub 2] Films - Contribution 1","HfO2","Dy, Er, Gd, Pr, La, Y","Memory, Gate dielectrics","Mapping dopant–host combinations in ALD thin films"
"Composition–Structure–Dielectric Property of Yttrium-Doped Hafnium Oxide Films Deposited by Atomic Layer Deposition - Contribution 1","HfO2","Dy, Er, Gd, Pr, La, Y","Memory, Gate dielectrics","Mapping dopant–host combinations in ALD thin films"
"Structural phase transformation of Y2O3 doped HfO2 films grown on Si using atomic layer deposition - Contribution 1","HfO2","Dy, Er, Gd, Pr, La, Y","Gate dielectrics, Memory","Mapping dopant–host combinations in ALD thin films"
"Microstructure and stress in high-k Hf–Y–O thin films - Contribution 1","HfO2","Dy, Er, Gd, Pr, La, Y","Memory, Gate dielectrics","Mapping dopant–host combinations in ALD thin films"
"Electrical and Physical Properties of Er-Doped HfO[sub 2] High-k Dielectrics Prepared by Atomic Layer Deposition - Contribution 1","HfO2","Dy, Er, Gd, Pr, La, Y","Gate dielectrics, Memory","Mapping dopant–host combinations in ALD thin films"
"Dielectric properties of Er−doped HfO2 (Er∼15%) grown by atomic layer deposition for high-κ gate stacks - Contribution 1","HfO2","Dy, Er, Gd, Pr, La, Y","Gate dielectrics, Memory","Mapping dopant–host combinations in ALD thin films"
"Atomic Layer Deposition of Gd-Doped HfO[sub 2] Thin Films - Contribution 1","HfO2","Dy, Er, Gd, Pr, La, Y","Gate dielectrics, Memory","Mapping dopant–host combinations in ALD thin films"
"Atomic Layer Deposition of Lanthanum Stabilized Amorphous Hafnium Oxide Thin Films - Contribution 1","HfO2","Dy, Er, Gd, Pr, La, Y","Gate dielectrics, Memory","Mapping dopant–host combinations in ALD thin films"
"Subnanoscale Lanthanum Distribution in Lanthanum-Incorporated Hafnium Oxide Thin Films Grown Using Atomic Layer Deposition - Contribution 1","HfO2","Dy, Er, Gd, Pr, La, Y","Gate dielectrics, Memory","Mapping dopant–host combinations in ALD thin films"
"Atomic-layer design and properties of Pr-doped HfO2 thin films - Contribution 1","HfO2","Dy, Er, Gd, Pr, La, Y","Gate dielectrics, Memory","Mapping dopant–host combinations in ALD thin films"
"Structure and Electrical Behavior of Hafnium-Praseodymium Oxide Thin Films Grown by Atomic Layer Deposition - Contribution 1","HfO2","Dy, Er, Gd, Pr, La, Y","Memory, Gate dielectrics","Mapping dopant–host combinations in ALD thin films"
"Y-doped HfO2 deposited by atomic layer deposition using a cocktail precursor for DRAM capacitor dielectric application - Contribution 1","HfO2","Dy, Er, Gd, Pr, La, Y","Memory, Gate dielectrics","Mapping dopant–host combinations in ALD thin films"
"Dysprosium Incorporation for Phase Stabilization of Atomic-Layer-Deposited HfO<sub>2</sub> Thin Films - Contribution 1","HfO2","Dy, Er, Gd, Pr, La, Y","Memory, Gate dielectrics","Mapping dopant–host combinations in ALD thin films"
"High-Endurance Ferroelectric (La, Y) and (La, Gd) Co-Doped Hafnium Zirconate Grown by Atomic Layer Deposition - Contribution 1","HfO2/ZrO2","Gd, La, Y","Memory","Mapping dopant–host combinations in ALD thin films"
"Highly efficient and stable electroluminescence from Er-doped Ga2O3 nanofilms fabricated by atomic layer deposition on silicon - Contribution 1","Ga2O3","Er, Nd","Luminescence","Mapping dopant–host combinations in ALD thin films"
"Near-Infrared Electroluminescence Based on Nd-Doped Ga<sub>2</sub>O<sub>3</sub> Nanolaminates Fabricated by Atomic Layer Deposition for Optoelectronic Applications - Contribution 1","Ga2O3","Er, Nd","Luminescence","Mapping dopant–host combinations in ALD thin films"
"Electroluminescence from Er-doped GeO2 nanofilms fabricated by atomic layer deposition on silicon: Effect of annealing temperature on film properties - Contribution 1","GeO2","Er","Luminescence","Mapping dopant–host combinations in ALD thin films"
"Electroluminescent Yb2O3:Er and Yb2Si2O7:Er nanolaminate films fabricated by atomic layer deposition on silicon - Contribution 1","Yb2O3","Er","Luminescence","Mapping dopant–host combinations in ALD thin films"
"Dysprosium oxide and dysprosium-oxide-doped titanium oxide thin films grown by atomic layer deposition - Contribution 1","TiO2","Yb, Tm, Er, Ho, Dy, Tb, Eu, Sm, Nd, Pr, La","Luminescence, Magnetics","Mapping dopant–host combinations in ALD thin films"
"Luminescence properties of lanthanide and ytterbium lanthanide titanate thin films grown by atomic layer deposition - Contribution 1","TiO2","Yb, Tm, Er, Ho, Dy, Tb, Eu, Sm, Nd, Pr, La","Luminescence, Magnetics","Mapping dopant–host combinations in ALD thin films"
"Luminescence properties of lanthanide and ytterbium lanthanide titanate thin films grown by atomic layer deposition - Contribution 2","YbxTiyOz","Tm, Er, Ho, Dy, Tb, Eu, Sm, Nd, Pr, La","Luminescence","Mapping dopant–host combinations in ALD thin films"
"Synthesis of a Thin-Layered Ionic Conductor, CeO<sub>2</sub>−Y<sub>2</sub>O<sub>3</sub>, by Atomic Layer Deposition in View of Solid Oxide Fuel Cell Applications - Contribution 1","YDC","Y","Electrolyte","Mapping dopant–host combinations in ALD thin films"
"Yttria-Doped Ceria Surface Modification Layer via Atomic Layer Deposition for Low-Temperature Solid Oxide Fuel Cells - Contribution 1","YDC","Y","Electrolyte","Mapping dopant–host combinations in ALD thin films"
"Incorporation of La in epitaxial SrTiO3 thin films grown by atomic layer deposition on SrTiO3-buffered Si (001) substrates - Contribution 1","SrTiO3","La","Gate dielectrics","Mapping dopant–host combinations in ALD thin films"
"Control of Eu Oxidation State in Y2O3−xSx:Eu Thin-Film Phosphors Prepared by Atomic Layer Deposition: A Structural and Photoluminescence Study - Contribution 4","Y2O3-xSx","Eu","Luminescence","Mapping dopant–host combinations in ALD thin films"
"Intense NIR emission in YVO<sub>4</sub>:Yb<sup>3+</sup> thin films by atomic layer deposition - Contribution 1","YVO4","Yb, Tm, Er, Ho, Dy, Tb, Eu, Sm, Nd","Thermometry","Mapping dopant–host combinations in ALD thin films"
"Sensors for optical thermometry based on luminescence from layered YVO4: Ln3+ (Ln = Nd, Sm, Eu, Dy, Ho, Er, Tm, Yb) thin films made by atomic layer deposition - Contribution 1","YVO4","Yb, Tm, Er, Ho, Dy, Tb, Eu, Sm, Nd","Thermometry","Mapping dopant–host combinations in ALD thin films"
"Crystallization and electroluminescence performance of the Er-doped polycrystalline Gd3Ga5O12 nanofilms fabricated by atomic layer deposition on silicon - Contribution 1","Gd3Ga5O12","Er","Luminescence","Mapping dopant–host combinations in ALD thin films"
"Silicon-based electroluminescent polycrystalline Er-doped Yb3Al5O12 nanofilms fabricated by atomic layer deposition - Contribution 1","Yb3Al5O12","Er","Luminescence","Mapping dopant–host combinations in ALD thin films"
"Electroluminescent polycrystalline Er-doped Lu3Al5O12 nanofilms fabricated by atomic layer deposition on silicon - Contribution 1","Lu3Al5O12","Er","Luminescence","Mapping dopant–host combinations in ALD thin films"
"Electroluminescence from Er-doped ZnGa2O4 spinel nanofilms fabricated by atomic layer deposition on silicon - Contribution 1","ZnGa2O4","Er","Luminescence","Mapping dopant–host combinations in ALD thin films"
"Post-annealing optimization of the heteroepitaxial La-doped SrSnO<sub>3</sub> integrated on silicon <i>via</i> ALD - Contribution 1","SrSnO3","La","Optoelectronics","Mapping dopant–host combinations in ALD thin films"
