orkg:P9071,orkg:P180042,orkg:P180043,orkg:P180044,orkg:P180045,orkg:P180041,orkg:P180013,paper:doi,paper:research_field
resource:NdAlO3,resource:Nd(thd)3,resource:O3,resource:TMA,resource:H2O,0.53,300,10.1016/j.tsf.2004.12.004,R254
resource:NdAlO3,resource:[NdAl(OiPr)6(PriOH)]2,resource:H2O,,,_,180-350,10.1021/cm0707556,R254
resource:NdNiO3,resource:Nd(iPrCp)3,resource:Ni(tBu2amd)2,resource:O3,,0.36,160,10.1021/acsaelm.1c00030,R254
resource:Sm2O3,resource:Sm(thd)3,resource:O3,,,0.36,300,10.1016/j.tsf.2004.06.160,R254
resource:SmMnO3,resource:Sm(thd)3,resource:Mn(thd)2,resource:O3,,0.23,275,10.1021/cm103480d,R254
resource:Eu2O3,resource:Eu(thd)3,resource:O3,,resource:73,0.32,300,10.1016/j.tsf.2004.06.160,R254
resource:Eu2O3,resource:Eu(thd)3,resource:O3,,resource:73,0.32,300,10.1088/2053-1591/3/5/055010,R254
resource:Eu2O3,resource:Eu(thd)3,resource:O3,,resource:73,0.32,300,10.1149/ma2014-02/30/1599,R254
resource:Eu2O3,resource:Eu(thd)3,resource:O3,,resource:73,0.32,300,10.1016/j.jlumin.2019.116618,R254
resource:Eu2O3,resource:Eu(thd)3,resource:O3,,resource:73,0.32,300,10.1002/cvde.201407113,R254
resource:Eu2O3,resource:Eu(thd)3,resource:O3,,resource:73,0.32,300,10.1021/acs.jpcc.0c04019,R254
resource:EuxTiyOz,resource:Eu(thd)3,resource:O3,resource:TiCl4,resource:H2O,0.38-0.45,300,10.1039/c3ra47469k,R254
resource:EuxTiyPOz,resource:Eu(thd)3,resource:O3,resource:TiCl4+H2O,resource:Me3PO4,0.80-1.00,300,10.1039/c6ra27644j,R254
resource:Gd2O3,resource:Gd(thd)3,resource:O3,,,0.31,300,10.1016/j.tsf.2004.06.160,R254
resource:Gd2O3,resource:Gd(MeCp)3,resource:H2O,,,1.00-3.20,175-300,10.1016/j.jcrysgro.2005.08.002,R254
resource:Gd2O3,resource:Gd(RCp)3,resource:H2O,,,1.00-3.20,,10.1039/c8ra09708a,R254
resource:Gd2O3,resource:Gd(RCp)3,resource:H2O,,,1.00-3.20,,10.1016/j.ceramint.2021.02.231,R254
resource:Gd2O3,resource:Gd(mmp)3,resource:H2O,,,0.20-1.00,200-300,10.1002/cvde.200406348,R254
resource:Gd2O3,resource:Gd(dpdmg)3,resource:H2O,,,1.00-1.10,175-350,10.1021/cm2020862,R254
resource:Gd2O3,resource:Gd(dpdmg)3,resource:H2O,,,1.00-1.10,175-350,10.1021/ic801432b,R254
resource:Gd2O3,resource:Gd(dpdmg)3,resource:H2O,,,1.00-1.10,175-350,10.1088/0268-1242/25/10/105001,R254
resource:Gd2O3,resource:Gd(tBu2amd)3,resource:H2O,,,0.26-0.49,350-400,10.1002/cvde.200506396,R254
resource:Gd2O3,resource:Gd(tBu2amd)3,resource:H2O,,,0.26-0.49,350-400,10.1002/cvde.200706631,R254
resource:Gd2O3,resource:Gd(tBu2amd)3,resource:H2O,,,0.26-0.49,350-400,10.1149/1.2761845,R254
resource:Gd2O3,resource:Gd(iPrCp)3,resource:H2O,,,0.8,250,10.1149/2.0021411jss,R254
resource:Gd2O3,resource:Gd(iPrCp)3,resource:H2O,,,0.8,250,10.1021/cm403390j,R254
resource:Gd2O3,resource:Gd(iPrCp)3,resource:O3,,,0.2,250,10.1002/cvde.201507196,R254
resource:Gd2O3,resource:Gd(iPr2amd)(iPrCp)2,resource:H2O,,,1.16-1.38,200-250,10.1021/acs.chemmater.6b01869,R254
resource:GdAlO3,resource:Gd(iPrCp)3,resource:TMA,resource:O3,,1.75-2.75,200-350,10.1002/cvde.200906833,R254
resource:GdAlO3,resource:Gd(iPrCp)3,resource:TMA,resource:H2O,,4.50-5.00,200-350,10.1002/cvde.200906833,R254
resource:ZrO2-Gd2O3,resource:Zr(MeCp)2Me(OMe),resource:Gd(thd)3,resource:O3,,0.39-0.53,300,10.1149/1.3478117,R254
resource:GdScO3,resource:Gd(iPr2amd)3,resource:Sc(Et2amd)3,resource:H2O,,2,310,10.1063/1.2354423,R254
resource:GdScO3,resource:Gd(thd)3,resource:Sc(thd)3,resource:O3,,0.21,300,10.1007/s00339-007-4069-7,R254
resource:GdScO3,resource:Gd(iPrCp)3,resource:Sc(MeCp)3,resource:H2O,,2.2,300,10.1021/cm403390j,R254
resource:GdFeO3,resource:GdFe(OtBu)6(C5H5N)2,resource:O3,,,0.20-0.30,200,10.1016/j.tsf.2020.137848,R254
resource:GdCoO3,resource:Gd(thd)3,resource:Co(thd)2,resource:O3,,0.24,300,10.1007/978-3-030-36408-3_82,R254
resource:Gd3Ga5O12,resource:Gd(thd)3,resource:TEGa,resource:O3,,0.19,350,10.1016/j.jlumin.2021.118544,R254
resource:Gd0.9Ca0.1CoO3,resource:Gd(thd)3,resource:Co(thd)2,resource:Ca(thd)2,resource:O3,0.3,300,10.1007/978-3-030-36408-3_82,R254
resource:GdN,resource:Gd(MeCp)3,resource:N2 plasma,,,0.33,150-300,10.1016/j.jcrysgro.2011.10.049,R254
resource:GdF3,resource:Gd(thd)3,resource:NH4F,,,0.26,300,10.1116/6.0001629,R254
resource:Tb2O3-Al2O3,resource:Tb(thd)3,resource:TMA,resource:O3,,_,350,10.1364/oe.26.009344,R254
resource:TbMnO3,resource:Tb(thd)3,resource:Mn(thd)2,resource:O3,,0.18,250-325,10.1021/cm103480d,R254
resource:TbScO3,resource:Tb(thd)3,resource:Sc(thd)3,resource:O3,,0.4,300,10.1149/2.011201jss,R254
resource:TbF3,resource:Tb(thd)3,resource:TiF4,,,0.75,175-350,10.1116/6.0000790,R254
resource:Dy2O3,resource:Dy(thd)3,resource:O3,,,0.31,300,10.1016/j.tsf.2004.06.160,R254
resource:Dy2O3,resource:Dy(dpdmg)3,resource:H2O,,,1,200-350,10.1021/cm2020862,R254
resource:Dy2O3,resource:Dy(dpdmg)3,resource:H2O,,,1,200-350,10.1021/ic801432b,R254
resource:Dy2O3,resource:Dy(iPr2amd)(iPrCp)2,orkg:R1470364,,,0.3,140-230,10.1021/acs.chemmater.5b01226,R254
resource:Dy2O3,resource:Dy(iPr2amd)(iPrCp)2,resource:H2O,,,1.16-1.38,300-350,10.1021/acs.chemmater.6b01869,R254
resource:Dy2O3,resource:Dy(iPr2amd)(iPrCp)2,resource:O3,,,_,200-350,10.1021/acs.chemmater.6b01869,R254
resource:Ho2O3,resource:Ho(thd)3,resource:O3,,,0.25,300,10.1016/j.tsf.2004.06.160,R254
resource:HoF3,resource:Ho(thd)3,resource:NbF5,,,1,250-275,10.1039/d3dt01717f,R254
resource:Er2O3,resource:Er(thd)3,resource:O3,,,0.20-0.25,250-375,10.1016/j.tsf.2004.06.160,R254
resource:Er2O3,resource:Er(thd)3,resource:O3,,,0.20-0.25,250-375,10.1016/j.jallcom.2003.11.149,R254
resource:Er2O3,resource:Er(thd)3,resource:O3,,,0.20-0.25,250-375,10.1016/j.solmat.2020.110787,R254
resource:Er2O3,resource:Er(thd)3,resource:O3,,,0.20-0.25,250-375,10.3390/nano13050849,R254
resource:Er2O3,resource:Er(thd)3,resource:O3,,,0.20-0.25,250-375,10.1016/j.surfin.2022.102377,R254
resource:Er2O3,resource:Er(thd)3,orkg:R1470364,,,0.5,200-300,10.1016/j.apsusc.2004.11.025,R254
resource:Er2O3,resource:Er(MeCp)3,resource:H2O,,,1.5,250-350,10.1002/cvde.200506396,R254
resource:Er2O3,resource:Er(MeCp)3,resource:H2O,,,1.5,250-350,10.1016/j.surfin.2022.102377,R254
resource:Er2O3,resource:Er(MeCp)3,resource:O3,,,0.12,170-330,10.1016/j.apsusc.2012.05.019,R254
resource:Er2O3,resource:Er(MeCp)3,resource:O3,,,0.12,170-330,10.1149/1.3122114,R254
resource:Er2O3,resource:Erbitel12,resource:O3,,,0.20-0.40,175-300,10.1149/1.3122114,R254
resource:Er2O3,resource:Er(tBu2amd)3,resource:O3,,,0.37-0.55,225-300,10.1039/b507351k,R254
resource:Er2O3,resource:Er(dpdmg)3,resource:H2O,,,1.1,150-275,10.1039/c3tc30401a,R254
resource:Er2O3,resource:Er(iPr2amd)(MeCp)2,resource:H2O,,,0.5,180,10.1021/acs.chemmater.5b01226,R254
resource:Er2O3,resource:Er(iPr2amd)(MeCp)2,orkg:R1470364,,,0.7,180,10.1021/acs.chemmater.5b01226,R254
resource:Er2O3,resource:Er(iPr2amd)(MeCp)2,resource:H2O,,,1.10-1.20,225-275,10.1002/cvde.201407116,R254
