idx,raw_ref,best_doi,best_title,best_container_title,best_year,best_volume,best_page,best_article_number,score,decision
21,[21] Kauppinen C et al 2017 Atomic layer etching of gallium nitride (0 0 0 1) J. Vac. Sci. Technol. A 35 060603,10.21063/jte.2017.3133602,Perencanaan Wireless Sensor Network (WSN) pada Sistem Monitoring Suhu dan Kelembaban Kamar Jenazah Rumah Sakit M. Djamil Padang,Jurnal Teknik Elektro ITP,2017,6,9-19,,20,low_confidence
22,[22] Park J W et al 2017 Atomic layer etching of InGaAs by controlled ion beam J. Phys. D: Appl. Phys. 50 254007,10.21063/jte.2017.3133602,Perencanaan Wireless Sensor Network (WSN) pada Sistem Monitoring Suhu dan Kelembaban Kamar Jenazah Rumah Sakit M. Djamil Padang,Jurnal Teknik Elektro ITP,2017,6,9-19,,20,low_confidence
23,[23] Park S et al 2008 Precise depth control and low-damage atomic-layer etching of HfO2 using BCl3 and Ar neutral beam Electrochem. Solid-State Lett. 11 H71–3,10.1109/itsim.2008.4631707,E-Classifier: A bi-lingual email classification system,2008 International Symposium on Information Technology,2008,,1-4,,15,low_confidence
24,[24] Mameli A et al 2018 Isotropic atomic layer etching of ZnO using Acetylacetone and O2 plasma ACS Appl. Mater. Interfaces 10 38588–95,10.24247/ijeefusoct20183,The Conflict of Interest Between People and Corporation in the Construction Project of Apartment in Yogyakarta Indonesia a Socio-Legal Perspective,"International Journal of Environment, Ecology, Family and Urban Studies",2018,8,15-22,,15,low_confidence
25,[25] Yeomú G Y 2009 Etch characteristics of TiO2 etched by using an atomic layer etching technique with BCl3 gas and an Ar neutral beam J. Korean Phys. Soc. 54 976–80,10.1007/978-3-540-89859-7_10,Efficient Multi-Target Tracking with Sub-Event IMM-JPDA and One-Point Prime Initialization,Lecture Notes in Electrical Engineering,2009,,127-142,,20,low_confidence
26,[26] Yokoyama S et al 1995 High-temperature etching of PZT/Pt/TiN structure by high-density ECR plasma Japan. J. Appl. Phys. 34 767,10.5144/0256-4947.1995.525,"Smoking Among Females Attending a Health Center in Riyadh, Saudi Arabia",Annals of Saudi Medicine,1995,15,525-528,,15,low_confidence
27,"[27] Okabayashi J, Miura Y and Munekata H 2018 Anatomy of interfacial spin-orbit coupling in Co/Pd multilayers using x-ray magnetic circular dichroism and first-principles calculations Sci. Rep. 8 8303",10.1038/s41598-018-26195-w,Anatomy of interfacial spin-orbit coupling in Co/Pd multilayers using X-ray magnetic circular dichroism and first-principles calculations,Scientific Reports,2018,8,,8303,20,low_confidence
28,[28] Parkin S et al 1999 Exchange-biased magnetic tunnel junctions and application to nonvolatile magnetic random access memory J. Appl. Phys. 85 5828–33,10.1163/22138617-07902019,"L'āyat Allāh Al-'Uẓmà Al-Mar'Ašī Al-Nağafī, Massimo Genealogista Contemporaneo. Una Panoramica Sugli Studi di 'Ilm Al-Nasab",Oriente Moderno,1999,79,513-539,,15,low_confidence
29,[29] Mannini M et al 2009 Magnetic memory of a single-molecule quantum magnet wired to a gold surface Nat. Mater. 8 194,10.1108/17538270910977536,The low‐income housing market in Jordan,International Journal of Housing Markets and Analysis,2009,2,233-252,,15,low_confidence
30,[30] Park J W et al 2018 Atomic layer etching of chrome using ion beams Nanotechnology 30 085303,10.24247/ijeefusoct20183,The Conflict of Interest Between People and Corporation in the Construction Project of Apartment in Yogyakarta Indonesia a Socio-Legal Perspective,"International Journal of Environment, Ecology, Family and Urban Studies",2018,8,15-22,,15,low_confidence
31,[31] Lin X et al 2018 In situ XPS study on atomic layer etching of Fe thin film using Cl2 and acetylacetone J. Vac. Sci. Technol. A 36 051401,10.24247/ijeefusoct20183,The Conflict of Interest Between People and Corporation in the Construction Project of Apartment in Yogyakarta Indonesia a Socio-Legal Perspective,"International Journal of Environment, Ecology, Family and Urban Studies",2018,8,15-22,,15,low_confidence
32,[32] Campbell S A 2001 The Science and Engineering of Microelectronic Fabrication (The Oxford Series in Electrical and Computer Engineering) (Oxford: Oxford University Press),10.17660/actahortic.2001.558.16,"LONGAN EVALUATION AND SELECTION IN FLORIDA, USA",Acta Horticulturae,2001,,125-127,,20,low_confidence
33,[33] Trucks G et al 1990 Mechanism of HF etching of silicon surfaces: a theoretical understanding of hydrogen passivation Phys. Rev. Lett. 65 504,10.1016/0741-983x(90)90035-z,Distribution of dust particles with wind direction in Baghdad,Solar &amp; Wind Technology,1990,7,495-496,,15,low_confidence
34,"[34] Ubara H, Imura T and Hiraki A 1984 Formation of Si–H bonds on the surface of microcrystalline silicon covered with SiOx by HF treatment Solid State Commun. 50 673–5",10.1016/0038-1098(84)90156-x,Formation of SiH bonds on the surface of microcrystalline silicon covered with SiOx by HF treatment,Solid State Communications,1984,50,673-675,,20,low_confidence
35,"[35] Thissen P, Seitz O and Chabal Y J 2012 Wet chemical surface functionalization of oxide-free silicon Prog. Surf. Sci. 87 272–90",10.1016/j.progsurf.2012.10.003,Wet chemical surface functionalization of oxide-free silicon,Progress in Surface Science,2012,87,272-290,,20,low_confidence
36,[36] Kudriavtsev Y et al 2005 Calculation of the surface binding energy for ion sputtered particles Appl. Surf. Sci. 239 273–8,10.1002/chin.200504228,"Magnetic and Transport Properties of HfFe<sub>6</sub>Ge<sub>6</sub>‐Type REMn<sub>6</sub>X<sub>6‐x</sub>X′<sub>x</sub> Solid Solutions (RE: Rare Earth; X: Ge, Sn; X′: Ga, In)",ChemInform,2005,36,,chin.200504228,15,low_confidence
37,"[37] Kelly R 1989 Bombardment-induced compositional change with alloys, oxides, oxysalts and halides III. The role of chemical driving forces Mater. Sci. Eng. A 115 11–24",10.1117/12.7977086,Laser-Induced Material Modifications,Optical Engineering,1989,28,,,20,low_confidence
38,"[38] Kanarik K J, Tan S and Gottscho R A 2018 Atomic layer etching: rethinking the art of etch J. Phys. Chem. Lett. 9 4814–21",10.1021/acs.jpclett.8b00997,Atomic Layer Etching: Rethinking the Art of Etch,The Journal of Physical Chemistry Letters,2018,9,4814-4821,,20,low_confidence
39,[39] Kanarik K J et al 2017 Predicting synergy in atomic layer etching J. Vac. Sci. Technol. A 35 05C302,10.21063/jte.2017.3133602,Perencanaan Wireless Sensor Network (WSN) pada Sistem Monitoring Suhu dan Kelembaban Kamar Jenazah Rumah Sakit M. Djamil Padang,Jurnal Teknik Elektro ITP,2017,6,9-19,,20,low_confidence
40,[40] Griffith J S 1964 The Theory of Transition-Metal Ions (Cambridge: Cambridge University Press),10.1104/pp.39.6.970,Metabolism of the Methyl Group of Nicotine in <i>Nicotiana rustica</i>,Plant Physiology,1964,39,970-973,,20,low_confidence
41,[41] Beletskaya I P and Cheprakov A V 2000 The Heck reaction as a sharpening stone of palladium catalysis Chem. Rev. 100 3009–66,10.1007/bf02828371,Litter size variation in captive wood lemmings (Myopus schisticolor),Russian Journal of Ecology,2000,31,136-138,,20,low_confidence
42,[42] Shushanyan A D et al 2019 Thermochemical study of new volatile palladium (II) and copper (II) β-ketohydrazonates for CVD application J. Ther. Anal. Calorimetry 136 2341–52,10.33899/edusj.2019.161212,"Preparation and Characterization of Co(II), Ni(II),Cu(II) and Zn(II) Complexes with Unsymmetrical Tetradentate Schiff Bases Ligands",Journal of Education and Science,2019,28,233-248,,15,low_confidence
43,[43] Cabrera N and Mott N F 1949 Theory of the oxidation of metals Rep. Prog. Phys. 12 163,10.1016/0031-8914(49)90034-8,Mechanical properties of metals,Physica,1949,15,119-134,,20,low_confidence
44,"[44] Lee Y and George S M 2015 Atomic layer etching of Al2O3 using sequential, self-limiting thermal reactions with Sn (acac) 2 and hydrogen fluoride ACS Nano 9 2061–70",10.1021/nn507277f,"Atomic Layer Etching of Al<sub>2</sub>O<sub>3</sub> Using Sequential, Self-Limiting Thermal Reactions with Sn(acac)<sub>2</sub> and Hydrogen Fluoride",ACS Nano,2015,9,2061-2070,,20,low_confidence
45,[45] Chen J K-C et al 2017 Directional etch of magnetic and noble metals. I. Role of surface oxidation states J. Vac. Sci. Technol. A 35 05C304,10.21063/jte.2017.3133602,Perencanaan Wireless Sensor Network (WSN) pada Sistem Monitoring Suhu dan Kelembaban Kamar Jenazah Rumah Sakit M. Djamil Padang,Jurnal Teknik Elektro ITP,2017,6,9-19,,20,low_confidence
46,[46] Altieri N D et al 2017 Plasma–surface interactions at the atomic scale for patterning metals J. Vac. Sci. Technol. A 35 05C203,10.5743/cairo/9789774168239.003.0011,Al-Majlis al-Milli,Marcus Simaika,2017,,,,15,low_confidence
47,[47] Chen J K-C et al 2017 Directional etch of magnetic and noble metals. II. Organic chemical vapor etch J. Vac. Sci. Technol. A 35 05C305,10.21063/jte.2017.3133602,Perencanaan Wireless Sensor Network (WSN) pada Sistem Monitoring Suhu dan Kelembaban Kamar Jenazah Rumah Sakit M. Djamil Padang,Jurnal Teknik Elektro ITP,2017,6,9-19,,20,low_confidence
48,[48] Barone M and Graves D 1995 Molecular-dynamics simulations of direct reactive ion etching of silicon by fluorine and chlorine J. Appl. Phys. 78 6604–15,10.1111/j.1467-9345.1995.tb00135.x,The Scaffolded Reading Experience: A Flexible Framework for Helping Students Get the Most Out of Text,Reading,1995,29,29-34,,20,low_confidence
49,[49] Berry I L et al 2018 Applying sputtering theory to directional atomic layer etching J. Vac. Sci. Technol. A 36 01B105,10.24247/ijeefusoct20183,The Conflict of Interest Between People and Corporation in the Construction Project of Apartment in Yogyakarta Indonesia a Socio-Legal Perspective,"International Journal of Environment, Ecology, Family and Urban Studies",2018,8,15-22,,15,low_confidence
